asx500_name,morningstar_name,match_score
galan lithium,galan lithium,100
healthia,healthia,100
latitude,latitude,100
judo capital,judo capital,100
cobram estate olives,cobram estate olives,100
genesis minerals,genesis minerals,100
gqg partners inc,gqg partners inc,100
core lithium,core lithium,100
firefinch,firefinch,100
ddh1,ddh1,100
archer materials,archer materials,100
janison education,janison education,100
bluebet,bluebet,100
airtasker,airtasker,100
ecograf,ecograf,100
incannex healthcare,incannex healthcare,100
family zone cyber safety,family zone cyber safety,100
challenger exploration,challenger exploration,100
