yearmonth,ticker,industry,ret,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,logsize,bm,leverage,mom,investa,roe,logppe,beta,volat,salesgr,epsgr,ticker_encode,date,winsor_bm,winsor_leverage,winsor_mom,winsor_investa,winsor_roe,winsor_volat,winsor_salesgr,winsor_epsgr
201112,ABY1,54,-.1038961,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,-.022655116,-.021678068,.1083,19.760269,4.3499999,.50212777,.24886464,-1.8695652,ABY1,2011m12,1.1434494,.0076266979,-.022655116,-.021678068,.1083,.50212777,.24886464,-1.8695652
201201,ABY1,54,.28985506,11.582218,10.5376805902524,23.095148,14.796548,17702,15544,1770215544,511009,215.82886,75.940346,21582962,5371.2456,19.22743,2.358336,.00096210965,-.04261256,-.051651221,.050299998,19.713373,4.3200002,.27073088,.11754392,-11.05618,ABY1,2012m1,2.358336,.002030686,-.04261256,-.051651221,.050299998,.27073088,.11754392,-11.05618
201003,ABY1,54,.15789473,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.26891842,-.017438112,.13,19.795185,4.3400002,.46808237,.061510917,39.881817,ABY1,2010m3,1.3645533,.012361514,.13144758,-.017438112,.13,.46808237,.061510917,39.881817
201105,ABY1,54,-.016666668,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.059845246,-.021678068,.1083,19.760269,4.3499999,.55195367,.096742414,-.72881359,ABY1,2011m5,1.1434494,.0076266979,.059845246,-.021678068,.1083,.55195367,.096742414,-.72881359
201002,ABY1,54,-.086538464,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.25689918,-.017438112,.13,19.795185,4.3400002,.20035632,.071548536,46.178947,ABY1,2010m2,1.3645533,.012361514,.13144758,-.017438112,.13,.20035632,.071548536,46.178947
201005,ABY1,54,-.30555555,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.11627544,-.017438112,.13,19.795185,4.3400002,.16167527,.090025358,58.493332,ABY1,2010m5,1.3645533,.012361514,.11627544,-.017438112,.13,.16167527,.090025358,58.493332
201204,ABY1,54,-.084507041,11.582218,10.5376805902524,23.095148,14.796548,17702,15544,1770215544,511009,215.82886,75.940346,21582962,5371.2456,19.22743,2.358336,.00096210965,-.045487914,-.051651221,.050299998,19.713373,4.3200002,.33843079,.15971451,-15.138461,ABY1,2012m4,2.358336,.002030686,-.045487914,-.051651221,.050299998,.33843079,.15971451,-15.138461
201007,ABY1,54,.36923078,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.031916972,-.017438112,.13,19.795185,4.3400002,.90672266,.076371461,49.292133,ABY1,2010m7,1.3645533,.012361514,.031916972,-.017438112,.13,.90672266,.076371461,49.292133
201008,ABY1,54,-.011235955,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.045142345,-.017438112,.13,19.795185,4.3400002,.90709966,.077238277,49.852272,ABY1,2010m8,1.3645533,.012361514,.045142345,-.017438112,.13,.90709966,.077238277,49.852272
201501,ABY1,54,.052631579,11.203352,8.349720837472489,20.413698,14.164747,-8429,-1782,-84291782,-174268,826.60419,47.641041,8266089.5,15974.056,17.875504,4.9080343,.0032601603,-.035828575,-.041201901,-.78100002,19.189932,1.79,.17446053,-3.9097176,-350.20001,ABY1,2015m1,2.358336,.0032601603,-.035828575,-.041201901,-.1648,.17446053,-3.9097176,-237.8
201012,ABY1,54,.13559322,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.003800422,-.017438112,.13,19.795185,4.3400002,.89667857,.050723948,32.738808,ABY1,2010m12,1.3645533,.012361514,.003800422,-.017438112,.13,.89667857,.050723948,32.738808
201010,ABY1,54,.043103449,11.336021,10.18678502667008,22.848949,14.316496,-7153,-18772,-715318772,-183309,204.36656,64.759415,20436722,4025.4404,19.662748,1.3645533,.012361514,.0087395785,-.017438112,.13,19.795185,4.3400002,.8997919,.055942219,36.256199,ABY1,2010m10,1.3645533,.012361514,.0087395785,-.017438112,.13,.8997919,.055942219,36.256199
201203,ABY1,54,-.1125,11.582218,10.5376805902524,23.095148,14.796548,17702,15544,1770215544,511009,215.82886,75.940346,21582962,5371.2456,19.22743,2.358336,.00096210965,-.02671442,-.051651221,.050299998,19.713373,4.3200002,.3409971,.14631349,-13.859155,ABY1,2012m3,2.358336,.002030686,-.02671442,-.051651221,.050299998,.3409971,.14631349,-13.859155
201102,ABY1,54,.072580643,11.401692,10.0063148623356,22.914619,14.583863,5687,-4384,568695616,505866,192.91664,47.793079,19291712,4649.1025,19.954945,1.1434494,.0076266979,.030811552,-.021678068,.1083,19.760269,4.3499999,.89730406,.12911059,-.96992481,ABY1,2011m2,1.1434494,.0076266979,.030811552,-.021678068,.1083,.89730406,.12911059,-.96992481
201202,AEJ,169,-.19642857,13.906589,7.560601162768557,23.116928,16.353182,-78958,193,-789579807,-930006,12220.568,21.432077,122205704,141134.58,15.056682,-3.6940017,.71480799,-.062642835,-.0080674505,3.2723,18.556452,1.47,.19229476,-4.5988703,477.82224,AEJ,2012m2,.072986394,.65629202,-.062642835,-.0080674505,.61269999,.19229476,-4.1692433,326.76581
201205,AEJ,169,-.088435374,13.906589,7.560601162768557,23.116928,16.353182,-78958,193,-789579807,-930006,12220.568,21.432077,122205704,141134.58,15.056682,-3.6940017,.71480799,-.0092236307,-.0080674505,3.2723,18.556452,1.47,.14633885,-2.5759494,267.43781,AEJ,2012m5,.072986394,.65629202,-.0092236307,-.0080674505,.61269999,.14633885,-2.5759494,267.43781
