Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
MLD AT Equity,MACA Ltd,Metals & Mining,151040,1.735000014,1.75999999,409856032
MAH AT Equity,Macmahon Holdings Ltd,Metals & Mining,151040,0.119999997,0.093000002,111848392
MQG AT Equity,Macquarie Group Ltd,Capital Markets,402030,81.94000244,79.80000305,27167252480
MRN AT Equity,Macquarie Media Ltd,Media,502010,0.935000002,0.899999976,153902496
MAQ AT Equity,Macquarie Telecom Group Ltd,Diversified Telecommunication Services,501010,12.22999954,12.5,262089008
MFG AT Equity,Magellan Financial Group Ltd,Capital Markets,402030,21.68000031,21.29000092,3659905280
MNS AT Equity,Magnis Energy Technologies Ltd,Metals & Mining,151040,0.904999971,0.654999971,291571008
1890913D AT Equity,Mantra Group Ltd,"Hotels, Restaurants & Leisure",253010,3.210000038,3.289999962,977809152
MYX AT Equity,Mayne Pharma Group Ltd,Pharmaceuticals,352020,2,1.639999986,2446866944
MCM AT Equity,MC Mining Ltd,"Oil, Gas & Consumable Fuels",101020,0.046,0.045000002,86715064
MEA AT Equity,McGrath Ltd,Real Estate Management & Development,601020,1.169999957,0.964999974,131711792
MMS AT Equity,McMillan Shakespeare Ltd,Professional Services,202020,11.81999969,10.82999992,901107136
MPL AT Equity,Medibank Pvt Ltd,Insurance,403010,2.480000019,2.579999924,7105328128
MVP AT Equity,Medical Developments International Ltd,Pharmaceuticals,352020,5.320000172,5.28000021,310825088
MP1 AT Equity,Megaport Ltd,IT Services,451020,2.75,2.599999905,229410976
MEZ AT Equity,Meridian Energy Ltd,Independent Power and Renewable Electricity Producers,551050,2.559999943,2.420000076,6202460160
MSB AT Equity,Mesoblast Ltd,Biotechnology,352010,1.120000005,1.225000024,467526208
MLX AT Equity,Metals X Ltd,Metals & Mining,151040,1.50999999,1.379999995,836214784
MTS AT Equity,Metcash Ltd,Food & Staples Retailing,301010,2.089999914,1.99000001,1941527296
MGC AT Equity,MG Unit Trust,Food Products,302020,1.200000048,1.070000052,218884640
MIL AT Equity,Millennium Services Group Ltd,Commercial Services & Supplies,202010,1.169999957,1.524999976,70040600
MIN AT Equity,Mineral Resources Ltd,Metals & Mining,151040,11.06999969,11.56999969,2164014336
MGR AT Equity,Mirvac Group,Equity Real Estate Investment Trusts (REITs),601010,2.24000001,2.089999914,7743688704
MUA AT Equity,Mitula Group Ltd,Interactive Media & Services,502030,1.049999952,0.894999981,190785728
MRM AT Equity,MMA Offshore Ltd,Energy Equipment & Services,101010,0.360000014,0.305000007,113788480
MND AT Equity,Monadelphous Group Ltd,Construction & Engineering,201030,9.079999924,9.319999695,874627584
MVF AT Equity,Monash IVF Group Ltd,Health Care Providers & Services,351020,2.460000038,2.109999895,496684352
MNY AT Equity,Money3 Corp Ltd,Consumer Finance,402020,1.715000033,1.764999986,273943712
MOC AT Equity,Mortgage Choice Ltd,Thrifts & Mortgage Finance,401020,2.00999999,2.24000001,278787840
MGX AT Equity,Mount Gibson Iron Ltd,Metals & Mining,151040,0.289999992,0.324999988,356382816
MYR AT Equity,Myer Holdings Ltd,Multiline Retail,255030,1.164999962,1.174999952,965002624
MYO AT Equity,MYOB Group Ltd,Software,451030,3.730000019,3.700000048,2217710592
MYS AT Equity,MyState Ltd,Thrifts & Mortgage Finance,401020,4.099999905,3.980000019,349734496
NAN AT Equity,Nanosonics Ltd,Health Care Equipment & Supplies,351010,3.390000105,3.470000029,1033029184
NAB AT Equity,National Australia Bank Ltd,Banks,401010,27.87000084,28,74395320320
NSR AT Equity,National Storage REIT,Equity Real Estate Investment Trusts (REITs),601010,1.605000019,1.450000048,729628672
NGI AT Equity,Navigator Global Investments Ltd,Capital Markets,402030,2.299999952,2.289999962,371318688
NVT AT Equity,Navitas Ltd,Diversified Consumer Services,253020,5.210000038,5.239999771,1925904640
NEA AT Equity,Nearmap Ltd,Software,451030,0.620000005,0.800000012,285236896
NTC AT Equity,NetComm Wireless Ltd,Communications Equipment,452010,2.809999943,2.269999981,332168896
NEU AT Equity,Neuren Pharmaceuticals Ltd,Pharmaceuticals,352020,0.050000001,0.043000001,79202944
NHC AT Equity,New Hope Corp Ltd,"Oil, Gas & Consumable Fuels",101020,1.75999999,1.879999995,1562412288
NCM AT Equity,Newcrest Mining Ltd,Metals & Mining,151040,22.19000053,22.55999947,17297557504
NWF AT Equity,Newfield Resources Ltd,Metals & Mining,151040,0.294999987,0.300000012,67675000
NWS AT Equity,News Corp,Media,502010,18.60000038,16.63999939,9428925440
NXT AT Equity,NEXTDC Ltd,IT Services,451020,4.21999979,3.680000067,1056038720
NHF AT Equity,nib holdings Ltd/Australia,Insurance,403010,4.679999828,4.820000172,2116000128
NCK AT Equity,Nick Scali Ltd,Specialty Retail,255040,5.860000134,5.800000191,469800000
NEC AT Equity,Nine Entertainment Co Holdings Ltd,Media,502010,1.054999948,0.860000014,749380928
NST AT Equity,Northern Star Resources Ltd,Metals & Mining,151040,4.659999847,4.159999847,2498255872
GHC AT Equity,Northwest Healthcare Properties Australia Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),601010,2,1.88499999,413356512
NOU AT Equity,Noumi Ltd,Food Products,302020,4.369999886,4.670000076,849852864
NUF AT Equity,Nufarm Ltd/Australia,Chemicals,151010,9.369999886,8.859999657,2361542144
NZM AT Equity,NZME Ltd,Media,502010,0.680000007,0.625,122507048
OCL AT Equity,Objective Corp Ltd,Software,451030,1.794999957,1.710000038,157096288
OGC AT Equity,OceanaGold Corp,Metals & Mining,151040,4.130000114,3.980000019,2429494016
OFX AT Equity,OFX Group Ltd,Diversified Financial Services,402010,1.899999976,1.549999952,377356640
OSH AT Equity,Oil Search Ltd,"Oil, Gas & Consumable Fuels",101020,7.090000153,6.659999847,10141132800
OBL AT Equity,Omni Bridgeway Ltd,Diversified Financial Services,402010,1.850000024,1.835000038,314134784
AJD AT Equity,One Wholesale Fund Services Ltd,Equity Real Estate Investment Trusts (REITs),601010,1.559999943,1.475000024,169625152
1AL AT Equity,OneAll International Ltd,Household Durables,252010,0.959999979,0.985000014,127065000
OVH AT Equity,Onevue Holdings Ltd,Diversified Financial Services,402010,0.694999993,0.649999976,171169536
OML AT Equity,oOh!media Ltd,Media,502010,4.989999771,4.269999981,699096960
ODA AT Equity,Orcoda Ltd,Software,451030,0.030999999,0.02,44322332
ORI AT Equity,Orica Ltd,Chemicals,151010,15.19999981,16.29000092,6107601408
ORG AT Equity,Origin Energy Ltd,Electric Utilities,551010,5.420000076,5.349999905,9387966464
ORA AT Equity,Orora Ltd,Containers & Packaging,151030,3.150000095,2.900000095,3499386368
ORL AT Equity,OrotonGroup Ltd,Specialty Retail,255040,2.480000019,2.400000095,98114160
OVT AT Equity,Ovato Ltd,Commercial Services & Supplies,202010,0.639999986,0.860000014,273627680
OZL AT Equity,OZ Minerals Ltd,Metals & Mining,151040,6.079999924,6.699999809,2024516352
PAC AT Equity,Pacific Current Group Ltd,Capital Markets,402030,4.159999847,3.700000048,104066032
PEA AT Equity,Pacific Energy Ltd,Independent Power and Renewable Electricity Producers,551050,0.63499999,0.589999974,218424096
PSQ AT Equity,Pacific Smiles Group Ltd,Health Care Providers & Services,351020,2.200000048,2.299999952,349584800
PGH AT Equity,Pact Group Holdings Ltd,Containers & Packaging,151030,6.309999943,6.570000172,1965968000
PDN AT Equity,Paladin Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.150000006,0.140000001,239798144
PAL AT Equity,Palla Pharma Ltd,Life Sciences Tools & Services,352030,3.099999905,3.099999905,163769120
