yearmonth,ticker,ret,rmrf,smb,hml,rmw,cma,wml,pmc,ticker_encode,date,winsor_ret,winsor_rmrf,winsor_smb,winsor_hml,winsor_rmw,winsor_cma,winsor_wml,winsor_pmc,_Nobs,_R2,_adjR2,_b_winsor_rmrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_rmw,_b_winsor_cma,_b_winsor_wml,_b_winsor_pmc,_b_cons,_fitted,_residuals
201304,A1M,.059999943,.011900772,-.048305709,.027314968,.012633295,.040689372,.085941106,-.085610338,A1M,2013m4,.059999943,.011900772,-.048305709,.027314968,.012633295,.040689372,.085941106,-.085610338,36,.4033604492185696,.254200561523212,-.896169139480017,2.911608001290399,-.028506401677437,-5.857664584581023,-.3949134870411335,.4990082648693015,-2.447242517150564,.0082777629889543,.018510913112552,.041489029666989
200911,A1M,-.31343284,-.00077408797,.014816812,-.027504653,-.0071424381,-.0064437347,.010624592,-.0059550074,A1M,2009m11,-.27699536,-.00077408797,.014816812,-.027504653,-.0071424381,-.0064437347,.010624592,-.0059550074,,,,,,,,,,,,,
201009,A1M,.62820518,.0025335604,-.062350761,-.084860243,-.089934103,-.075081535,-.088827081,.0024158945,A1M,2010m9,.33888897,.0025335604,-.062350761,-.084860243,-.062945016,-.073632516,-.088827081,.0024158945,14,.235996524787009,-.6553408629614805,2.739034472233783,-.7405493137223416,3.075919393831947,-2.410743980683887,2.503666286841465,-2.288745668721048,1.329374766690972,.1837137844398269,.1497111362675401,.1891778367301253
201308,A1M,.037037,-.0051734848,.021270895,-.0076167989,.022482967,.0053119594,.019351782,.032627888,A1M,2013m8,.037037,-.0051734848,.021270895,-.0076167989,.022482967,.0053119594,.019351782,.032627888,36,.5191364456507653,.3989205570634566,.1978482450858157,3.719697627676807,.1784693828407639,-2.791363272416748,-6.080405728442171,2.589629648531029,-1.48320375127595,.0055861572281654,-.0110123276116308,.0480493276717123
200908,A1M,-.076923005,.020429589,.025825771,-.063663885,.061641369,-.044621434,-.057645287,-.0028983648,A1M,2009m8,-.076923005,.020429589,.025825771,-.063663885,.061641369,-.044621434,-.057645287,-.0028983648,,,,,,,,,,,,,
201311,A1M,-.070175476,-.037294276,.040589415,.062625177,.020224607,.051032905,.098655224,.0053624338,A1M,2013m11,-.070175476,-.037294276,.040589415,.062625177,.020224607,.051032905,.098655224,.0053624338,36,.4742741950722498,.3428427438403122,.2297353493933819,2.321105723653888,1.287366421669632,-.5748067973561923,-7.541874531056532,2.633181483150673,-.7487200166751513,-.0252020156132736,.0003171863005497,-.0704926626727917
201401,A1M,-.1111111,-.051985458,.060730617,.0088581527,.024072714,.031118384,.032752164,.0099399015,A1M,2014m1,-.1111111,-.051985458,.060730617,.0088581527,.024072714,.031118384,.032752164,.0099399015,36,.5316757195472251,.4145946494340315,.2316095479300601,2.849657429641526,.7093603272662059,-.7731467153654528,-7.817873400496619,2.816121305053393,-.9238342841984228,-.0165211485671231,-.0280564788079217,-.0830546256804511
201110,A1M,.22580643,.024004055,-.094775848,-.077557415,-.062945016,-.065644123,-.07951194,.004536048,A1M,2011m10,.22580643,.024004055,-.074535772,-.077557415,-.062945016,-.065644123,-.07951194,.004536048,27,.3435226460375237,.1016625682618745,2.125555114210073,.576742953878715,-.0685026354929372,-3.402773003910166,1.536820484816303,1.411848144795423,1.498097595307705,.1591336539282873,.1803215269270637,.0454849030551216
201010,A1M,.30314961,.12958091,.0046311645,-.03260674,-.0060648294,-.0011129804,.003442721,-.18206315,A1M,2010m10,.30314961,.10395271,.0046311645,-.03260674,-.0060648294,-.0011129804,.003442721,-.090401106,15,.2864078775717214,-.4271842448565573,2.97444722518482,-.7288285657998896,2.984265889553939,-2.533454525425708,2.938030269267689,-2.408789052954593,1.180253504380531,.1907413603735114,.296366703560367,.0067829071974607
201012,A1M,-.11842105,-.011735184,-.030439733,-.080313645,-.050786775,-.057032846,-.051638514,.0019844088,A1M,2010m12,-.11842105,-.011735184,-.030439733,-.080313645,-.050786775,-.057032846,-.051638514,.0019844088,17,.2899649647713,-.2622845070732442,1.891267819116899,-2.007384522872664,1.458228949445642,-1.496109065243277,2.981467146990459,-.0368669008647007,.1148420069269793,.1781319762728018,.0079988086259827,-.1264198565519318
201008,A1M,.29999989,-.044708211,.0069196904,.012360865,-.0056756223,.010244853,.042085804,.012924744,A1M,2010m8,.29999989,-.044708211,.0069196904,.012360865,-.0056756223,.010244853,.042085804,.012924744,13,.276206266723963,-.7371049598624888,1.621337274456217,-1.588016790712824,2.071604365909073,-.7349381163815853,1.642871497346017,.1685629435396709,.3403466004651337,.1449728406397688,.1195991971054599,.1804006956061796
201402,A1M,-.071428612,.016599992,-.037313882,-.030947559,-.0092041139,-.014884833,-.0019562985,.0051593021,A1M,2014m2,-.071428612,.016599992,-.037313882,-.030947559,-.0092041139,-.014884833,-.0019562985,.0051593021,36,.5366237350504666,.4207796688130832,.2954553188935873,2.703185486296863,1.299524389914331,-1.088742125863364,-7.834526811902402,2.804312977393341,-.8699970274738777,-.0212969420526933,-.0408139572959515,-.0306146545786289
201002,A1M,-.11538456,-.019639714,-.019699652,.016841365,.0010236097,-.010889763,.011134959,-.016045388,A1M,2010m2,-.11538456,-.019639714,-.019699652,.016841365,.0010236097,-.010889763,.011134959,-.016045388,,,,,,,,,,,,,
201209,A1M,.70909089,-.0097969426,-.0059298738,.00027198982,-.022861946,-.034379691,-.026701195,-.023977244,A1M,2012m9,.33888897,-.0097969426,-.0059298738,.00027198982,-.022861946,-.034379691,-.026701195,-.023977244,36,.2716681726109038,.0895852157636298,1.05201080186144,2.484048626018732,1.825132459200109,-3.342530833947907,-3.079849711615116,.9832242565187546,.9320742948498278,.101212982341286,.2103720214478755,.1285169515497899
201201,A1M,.16972472,.017728196,-.066893034,-.038631532,-.058490966,-.076727271,-.096586704,.015290664,A1M,2012m1,.16972472,.017728196,-.066893034,-.038631532,-.058490966,-.073632516,-.088827081,.015290664,30,.3531637817051605,.147352257702257,2.148190107555231,.5122887615907521,.22013283930673,-3.488564019135693,1.523255728517698,1.052030090580842,1.418635402412912,.1568738489834149,.1723162075223914,-.0025914897861472
201303,A1M,.16279067,-.058030274,-.01832654,-.023155572,-.0058104736,-.0022626126,.049772684,-.039034519,A1M,2013m3,.16279067,-.058030274,-.01832654,-.023155572,-.0058104736,-.0022626126,.049772684,-.039034519,36,.4074679183796115,.2593348979745144,-.8316815425020772,2.991015073053442,.1415226363707414,-5.645631088952053,-.8525468339103153,.5697453858072521,-2.252897154099005,.0091123663416283,.1503143681308198,.0124763028601241
200912,A1M,.2608695,.005699533,.019106945,.038652021,.036810078,.029646961,.030158613,.031095101,A1M,2009m12,.2608695,.005699533,.019106945,.038652021,.036810078,.029646961,.030158613,.031095101,,,,,,,,,,,,,
201112,A1M,.038095318,-.049969722,-.029770648,-.0014521466,-.010529854,-.0094444761,-.014378013,-.00079748308,A1M,2011m12,.038095318,-.049969722,-.029770648,-.0014521466,-.010529854,-.0094444761,-.014378013,-.00079748308,29,.3464308928602959,.1285745238137279,2.151004497268566,.5138296232325086,.2321096603412193,-3.490291663947969,1.513581066848307,1.047201038923076,1.423958733537104,.1571728474637947,.0403186828065438,-.0022233650255723
201109,A1M,-.39215684,-.10857479,.091070056,.11402384,.10921448,.13413574,.054562602,-.046891425,A1M,2011m9,-.27699536,-.10453988,.091070056,.1124947,.094508007,.093551226,.054562602,-.046891425,26,.3300086831041051,.0694565043112572,2.074351040908335,.726993398480382,-.066666209215366,-3.363995600767472,1.322712426484893,1.556675336222914,1.466836653891519,.1548657795720845,-.1813078470625151,-.0956875137887727
201310,A1M,.075471736,.015512567,-.042026408,-.011813846,.024774741,-.020053634,-.00053318217,.017445391,A1M,2013m10,.075471736,.015512567,-.042026408,-.011813846,.024774741,-.020053634,-.00053318217,.017445391,36,.4699323530172692,.3374154412715865,.1401280425240052,2.783184860793249,1.216574928754324,-1.790545548325698,-7.424429135036691,3.335120445763859,-.6269386751889732,-.0174193535011934,-.0547742321183219,.1302459686090484
201301,A1M,.071428582,.020694759,.014123378,.028409621,.0045326143,-.010153242,.016620973,-.038804039,A1M,2013m1,.071428582,.020694759,.014123378,.028409621,.0045326143,-.010153242,.016620973,-.038804039,36,.3939989423765408,.2424986779706759,-.7213828473761024,3.261361482842935,.4813835755216394,-5.314850083454496,-1.948682715248856,.7118099581590229,-2.223601528026936,.0140098501666003,.1526293511358215,-.0812007690635635
201104,A1M,-.10975605,-.052206155,-.057709854,-.056951396,-.026707854,-.05818389,-.03182745,-.037995584,A1M,2011m4,-.10975605,-.052206155,-.057709854,-.056951396,-.026707854,-.05818389,-.03182745,-.037995584,21,.199638988217274,-.2313246335118861,1.742429994582683,-1.29867494013578,-.1809469844618818,-1.369162328913728,2.613733318391038,.9921654238653719,.5533668153224882,.1526168829931621,-.0212105369313045,-.0885455155627446
