ticker_year_month,ticker,year-month,year,industry,month,ret,MKT-RF,SMB,HML,WML,pmc
CCL_2012_04,CCL,201204.0,2012,114.0,4,-0.0016038492381716,1.16,-1.98,1.32,1.94,-0.0010904212709586
CSL_2012_04,CSL,201204.0,2012,95.0,4,0.0214544441348563,1.16,-1.98,1.32,1.94,-0.0010904212709586
CSR_2012_04,CSR,201204.0,2012,30.0,4,-0.0305555555555555,1.16,-1.98,1.32,1.94,-0.0010904212709586
DOW_2012_04,DOW,201204.0,2012,216.0,4,-0.1019766879733575,1.16,-1.98,1.32,1.94,-0.0010904212709586
ELD_2012_04,ELD,201204.0,2012,35.0,4,0.0435015536269152,1.16,-1.98,1.32,1.94,-0.0010904212709586
ENV1_2012_04,ENV1,201204.0,2012,31.0,4,0.0129870129870131,1.16,-1.98,1.32,1.94,-0.0010904212709586
EPW_2012_04,EPW,201204.0,2012,91.0,4,-0.0736842105263158,1.16,-1.98,1.32,1.94,-0.0010904212709586
EVN_2012_04,EVN,201204.0,2012,119.0,4,0.0028723072119889,1.16,-1.98,1.32,1.94,-0.0010904212709586
FMG_2012_04,FMG,201204.0,2012,56.0,4,-0.0292598967297762,1.16,-1.98,1.32,1.94,-0.0010904212709586
FXJ_2012_04,FXJ,201204.0,2012,84.0,4,-0.0638297872340425,1.16,-1.98,1.32,1.94,-0.0010904212709586
GFF_2012_04,GFF,201204.0,2012,71.0,4,-0.0579710144927535,1.16,-1.98,1.32,1.94,-0.0010904212709586
GNC_2012_04,GNC,201204.0,2012,35.0,4,0.0199050949050951,1.16,-1.98,1.32,1.94,-0.0010904212709586
HVN_2012_04,HVN,201204.0,2012,87.0,4,0.0049709591334834,1.16,-1.98,1.32,1.94,-0.0010904212709586
ILU_2012_04,ILU,201204.0,2012,122.0,4,-0.0444039659253282,1.16,-1.98,1.32,1.94,-0.0010904212709586
IPL_2012_04,IPL,201204.0,2012,92.0,4,0.0380952380952381,1.16,-1.98,1.32,1.94,-0.0010904212709586
LAU_2012_04,LAU,201204.0,2012,131.0,4,0.0588235294117645,1.16,-1.98,1.32,1.94,-0.0010904212709586
ABY1_2012_05,ABY1,201205.0,2012,54.0,5,-0.1692307692307691,-11.42,0.63,3.62,4.74,-0.0035069922463868
AEJ_2012_05,AEJ,201205.0,2012,169.0,5,-0.0884353741496599,-11.42,0.63,3.62,4.74,-0.0035069922463868
AGL_2012_05,AGL,201205.0,2012,91.0,5,0.0473922053998041,-11.42,0.63,3.62,4.74,-0.0035069922463868
AHG_2012_05,AHG,201205.0,2012,90.0,5,0.0317460317460318,-11.42,0.63,3.62,4.74,-0.0035069922463868
AIO_2012_05,AIO,201205.0,2012,81.0,5,-0.0401691331923891,-11.42,0.63,3.62,4.74,-0.0035069922463868
AMP_2012_05,AMP,201205.0,2012,104.0,5,-0.091334894613583,-11.42,0.63,3.62,4.74,-0.0035069922463868
BKN_2012_05,BKN,201205.0,2012,43.0,5,-0.1875843454790824,-11.42,0.63,3.62,4.74,-0.0035069922463868
BKW_2012_05,BKW,201205.0,2012,30.0,5,-0.0048076923076924,-11.42,0.63,3.62,4.74,-0.0035069922463868
BLD_2012_05,BLD,201205.0,2012,30.0,5,-0.066122488408037,-11.42,0.63,3.62,4.74,-0.0035069922463868
CCL_2012_05,CCL,201205.0,2012,114.0,5,0.0321285140562248,-11.42,0.63,3.62,4.74,-0.0035069922463868
CSL_2012_05,CSL,201205.0,2012,95.0,5,0.0270049099836333,-11.42,0.63,3.62,4.74,-0.0035069922463868
CSR_2012_05,CSR,201205.0,2012,30.0,5,-0.0544412607449857,-11.42,0.63,3.62,4.74,-0.0035069922463868
DOW_2012_05,DOW,201205.0,2012,216.0,5,-0.0886443161766905,-11.42,0.63,3.62,4.74,-0.0035069922463868
ELD_2012_05,ELD,201205.0,2012,35.0,5,-0.2291816408255467,-11.42,0.63,3.62,4.74,-0.0035069922463868
ENV1_2012_05,ENV1,201205.0,2012,31.0,5,0.0128205128205127,-11.42,0.63,3.62,4.74,-0.0035069922463868
EPW_2012_05,EPW,201205.0,2012,91.0,5,0.1477272727272727,-11.42,0.63,3.62,4.74,-0.0035069922463868
EVN_2012_05,EVN,201205.0,2012,119.0,5,-0.074279310130129,-11.42,0.63,3.62,4.74,-0.0035069922463868
FMG_2012_05,FMG,201205.0,2012,56.0,5,-0.1808510638297872,-11.42,0.63,3.62,4.74,-0.0035069922463868
FXJ_2012_05,FXJ,201205.0,2012,84.0,5,-0.0227272727272727,-11.42,0.63,3.62,4.74,-0.0035069922463868
GFF_2012_05,GFF,201205.0,2012,71.0,5,-0.0923076923076924,-11.42,0.63,3.62,4.74,-0.0035069922463868
GNC_2012_05,GNC,201205.0,2012,35.0,5,0.0173372186987288,-11.42,0.63,3.62,4.74,-0.0035069922463868
ILU_2012_05,ILU,201205.0,2012,122.0,5,-0.2117680630065059,-11.42,0.63,3.62,4.74,-0.0035069922463868
IPL_2012_05,IPL,201205.0,2012,92.0,5,-0.1314984709480122,-11.42,0.63,3.62,4.74,-0.0035069922463868
LAU_2012_05,LAU,201205.0,2012,131.0,5,-0.111111111111111,-11.42,0.63,3.62,4.74,-0.0035069922463868
ABY1_2012_06,ABY1,201206.0,2012,54.0,6,-0.1296296296296297,4.47,-3.08,1.26,3.94,-0.0108986067241212
AEJ_2012_06,AEJ,201206.0,2012,169.0,6,0.0945273631840797,4.47,-3.08,1.26,3.94,-0.0108986067241212
