ticker_year_month,ticker,year-month,year,month,ret,MKT-RF,SMB,HML,WML,pmc
AIO_2012_03,AIO,201203.0,2012,3,-0.01010101010101,-2.16,0.65,-0.12,5.37,0.0002543009053857
AMP_2012_03,AMP,201203.0,2012,3,0.0773067331670824,-2.16,0.65,-0.12,5.37,0.0002543009053857
BKN_2012_03,BKN,201203.0,2012,3,0.0287769784172662,-2.16,0.65,-0.12,5.37,0.0002543009053857
BKW_2012_03,BKW,201203.0,2012,3,0.0189035916824196,-2.16,0.65,-0.12,5.37,0.0002543009053857
BLD_2012_03,BLD,201203.0,2012,3,-0.0840663900414938,-2.16,0.65,-0.12,5.37,0.0002543009053857
CCL_2012_03,CCL,201203.0,2012,3,0.0391666666666667,-2.16,0.65,-0.12,5.37,0.0002543009053857
CSR_2012_03,CSR,201203.0,2012,3,-0.0575916230366491,-2.16,0.65,-0.12,5.37,0.0002543009053857
DOW_2012_03,DOW,201203.0,2012,3,0.0177116929973213,-2.16,0.65,-0.12,5.37,0.0002543009053857
ELD_2012_03,ELD,201203.0,2012,3,-0.0212877516778523,-2.16,0.65,-0.12,5.37,0.0002543009053857
ENV1_2012_03,ENV1,201203.0,2012,3,-0.0374999999999999,-2.16,0.65,-0.12,5.37,0.0002543009053857
EPW_2012_03,EPW,201203.0,2012,3,0.1801242236024842,-2.16,0.65,-0.12,5.37,0.0002543009053857
EVN_2012_03,EVN,201203.0,2012,3,-0.1318371550929691,-2.16,0.65,-0.12,5.37,0.0002543009053857
FMG_2012_03,FMG,201203.0,2012,3,0.0430879712746856,-2.16,0.65,-0.12,5.37,0.0002543009053857
FXJ_2012_03,FXJ,201203.0,2012,3,-0.0784313725490196,-2.16,0.65,-0.12,5.37,0.0002543009053857
GFF_2012_03,GFF,201203.0,2012,3,0.0454545454545454,-2.16,0.65,-0.12,5.37,0.0002543009053857
GNC_2012_03,GNC,201203.0,2012,3,0.1426614537256354,-2.16,0.65,-0.12,5.37,0.0002543009053857
HVN_2012_03,HVN,201203.0,2012,3,-0.0289619429907016,-2.16,0.65,-0.12,5.37,0.0002543009053857
ILU_2012_03,ILU,201203.0,2012,3,0.0652653839003531,-2.16,0.65,-0.12,5.37,0.0002543009053857
IPL_2012_03,IPL,201203.0,2012,3,-0.0337423312883434,-2.16,0.65,-0.12,5.37,0.0002543009053857
LAU_2012_03,LAU,201203.0,2012,3,0.0303030303030302,-2.16,0.65,-0.12,5.37,0.0002543009053857
ABY1_2012_04,ABY1,201204.0,2012,4,-0.084507042253521,1.16,-1.98,1.32,1.94,0.0017374386326472
AEJ_2012_04,AEJ,201204.0,2012,4,0.0400943396226414,1.16,-1.98,1.32,1.94,0.0017374386326472
AGL_2012_04,AGL,201204.0,2012,4,0.0155955391203941,1.16,-1.98,1.32,1.94,0.0017374386326472
AHG_2012_04,AHG,201204.0,2012,4,0.0588235294117647,1.16,-1.98,1.32,1.94,0.0017374386326472
AIO_2012_04,AIO,201204.0,2012,4,-0.0346938775510203,1.16,-1.98,1.32,1.94,0.0017374386326472
AMP_2012_04,AMP,201204.0,2012,4,-0.0115740740740742,1.16,-1.98,1.32,1.94,0.0017374386326472
BKN_2012_04,BKN,201204.0,2012,4,-0.1363636363636363,1.16,-1.98,1.32,1.94,0.0017374386326472
BKW_2012_04,BKW,201204.0,2012,4,-0.0352504638218923,1.16,-1.98,1.32,1.94,0.0017374386326472
BLD_2012_04,BLD,201204.0,2012,4,-0.0620639666576062,1.16,-1.98,1.32,1.94,0.0017374386326472
CCL_2012_04,CCL,201204.0,2012,4,-0.0016038492381716,1.16,-1.98,1.32,1.94,0.0017374386326472
CSL_2012_04,CSL,201204.0,2012,4,0.0214544441348563,1.16,-1.98,1.32,1.94,0.0017374386326472
CSR_2012_04,CSR,201204.0,2012,4,-0.0305555555555555,1.16,-1.98,1.32,1.94,0.0017374386326472
DOW_2012_04,DOW,201204.0,2012,4,-0.1019766879733575,1.16,-1.98,1.32,1.94,0.0017374386326472
ELD_2012_04,ELD,201204.0,2012,4,0.0435015536269152,1.16,-1.98,1.32,1.94,0.0017374386326472
ENV1_2012_04,ENV1,201204.0,2012,4,0.0129870129870131,1.16,-1.98,1.32,1.94,0.0017374386326472
EPW_2012_04,EPW,201204.0,2012,4,-0.0736842105263158,1.16,-1.98,1.32,1.94,0.0017374386326472
EVN_2012_04,EVN,201204.0,2012,4,0.0028723072119889,1.16,-1.98,1.32,1.94,0.0017374386326472
FMG_2012_04,FMG,201204.0,2012,4,-0.0292598967297762,1.16,-1.98,1.32,1.94,0.0017374386326472
FXJ_2012_04,FXJ,201204.0,2012,4,-0.0638297872340425,1.16,-1.98,1.32,1.94,0.0017374386326472
