,year,nger_name,scope1,scope2,energy_consumption,total_emissions
192,2009,sonoma mine management,134865.0,25292.0,1012528.0,160157.0
193,2009,south australian water,70006.0,373897.0,1861545.0,443903.0
194,2009,sp australia networks (transmission),13503.0,1636619.0,4873268.0,1650122.0
195,2009,spi (australia) assets,552149.0,264734.0,2474982.0,816883.0
196,2009,spi electricity & gas australia,212551.0,666878.0,2164602.0,879429.0
197,2009,st barbara,64768.0,69492.0,1271108.0,134260.0
198,2009,stanwell,7277109.0,13907.0,86130709.0,7291016.0
199,2009,state transit authority of nsw,137825.0,9052.0,2178923.0,146877.0
200,2009,stockland,18957.0,126438.0,761379.0,145395.0
201,2009,sun metals,15562.0,815213.0,3303488.0,830775.0
202,2009,sunwater,2785.0,129077.0,550565.0,131862.0
203,2009,sydney water,151462.0,323923.0,1877169.0,475385.0
204,2009,tabcorp,9870.0,145525.0,748699.0,155395.0
205,2009,tarong energy,6714430.0,164324.0,78377433.0,6878754.0
206,2009,tarong north,2649130.0,2179.0,29966473.0,2651309.0
207,2009,telstra,64647.0,1317310.0,5894615.0,1381957.0
208,2009,the maddingley mine trust,167252.0,420.0,16718.0,167672.0
209,2009,tiger airways australia,132008.0,0.0,1969084.0,132008.0
210,2009,tiwest,564168.0,227901.0,8176212.0,792069.0
211,2009,toll,409822.0,89658.0,6179331.0,499480.0
212,2009,toyota motor  australia,40711.0,124685.0,1128851.0,165396.0
213,2009,transalta energy (australia),692706.0,69.0,13415287.0,692775.0
214,2009,transfield services,1455341.0,198809.0,24270801.0,1654150.0
215,2009,transgrid,15504.0,2225457.0,9083567.0,2240961.0
216,2009,transpacific industries,1430510.0,36527.0,3030865.0,1467037.0
217,2009,truenergy,15826183.0,256951.0,209168930.0,16083134.0
218,2009,tt-line company,144675.0,1254.0,1974832.0,145929.0
219,2009,unimin asia pacific,205880.0,71010.0,1652865.0,276890.0
220,2009,united energy distribution,5421.0,634533.0,1949628.0,639954.0
221,2009,university of melbourne,14828.0,119381.0,637870.0,134209.0
