,year,nger_name,scope1,scope2,energy_consumption,total_emissions,morningstar_name,match_score,ticker
638,2011,david jones,5009.0,101602.0,411895.0,5009101602.0,david jones,100.0,DJS
642,2011,dexus,8702.0,123421.0,586741.0,8702123421.0,dexus,100.0,DXS
645,2011,downer edi,217793.0,47768.0,9670981.0,21779347768.0,downer edi,100.0,DOW
647,2011,eastern star gas,80517.0,198.0,794794.0,80517198.0,eastern star gas,100.0,ESG
649,2011,elders,24166.0,40759.0,511465.0,2416640759.0,elders,100.0,ELD
655,2011,energy developments,707245.0,2595.0,21030161.0,7072452595.0,energy developments,100.0,ENE1
656,2011,envestra,403693.0,51.0,256.0,40369351.0,envestra,100.0,ENV1
662,2011,erm power,63970.0,2732.0,1263529.0,639702732.0,erm power,100.0,EPW
668,2011,fairfax media,9078.0,84873.0,457701.0,907884873.0,fairfax media,100.0,FXJ
676,2011,fortescue metals,601533.0,40242.0,9476747.0,60153340242.0,fortescue metals,100.0,FMG
677,2011,foster's,61074.0,132154.0,1391830.0,61074132154.0,foster's,100.0,FGL1
688,2011,gloucester coal,61811.0,21266.0,783972.0,6181121266.0,gloucester coal,100.0,GCL
692,2011,goodman fielder,72290.0,88547.0,1525171.0,7229088547.0,goodman fielder,100.0,GFF
694,2011,graincorp,49777.0,154782.0,1452064.0,49777154782.0,graincorp,100.0,GNC
695,2011,grange resources,168228.0,64452.0,3483113.0,16822864452.0,grange resources,100.0,GRR
698,2011,gunns,8787.0,50069.0,2093937.0,878750069.0,gunns,100.0,GNS
702,2011,harvey norman,5041.0,163641.0,705504.0,5041163641.0,harvey norman,100.0,HVN
710,2011,hrl,2457380.0,182455.0,32659072.0,2457380182455.0,hrl,100.0,HRL
718,2011,iluka resources,642775.0,181379.0,9015295.0,642775181379.0,iluka resources,100.0,ILU
719,2011,incitec pivot,994797.0,158876.0,23355394.0,994797158876.0,incitec pivot,100.0,IPL
725,2011,investa property,2867.0,72789.0,325866.0,286772789.0,investa property,100.0,IPG2
735,2011,kagara,44969.0,45556.0,966478.0,4496945556.0,kagara,100.0,KZL
750,2011,lindsay australia,89726.0,4370.0,1301405.0,897264370.0,lindsay australia,100.0,LAU
835,2011,redbank energy,1174312.0,1728.0,13580181.0,11743121728.0,redbank energy,100.0,AEJ
956,2012,aditya birla minerals,107175.0,37710.0,2667221.0,10717537710.0,aditya birla minerals,100.0,ABY1
957,2012,agl energy,21741632.0,303574.0,274972535.0,21741632303574.0,agl energy,100.0,AGL
969,2012,amp,7989.0,178503.0,780363.0,7989178503.0,amp,100.0,AMP
974,2012,ardent leisure,2646.0,51914.0,253491.0,264651914.0,ardent leisure,100.0,ALG
977,2012,arrow energy,745955.0,44509.0,14547812.0,74595544509.0,arrow energy,100.0,AOE
979,2012,asciano,1027562.0,130234.0,15223518.0,1027562130234.0,asciano,100.0,AIO
993,2012,automotive,69131.0,41317.0,1170396.0,6913141317.0,automotive,100.0,AHG
1002,2012,bega cheese,46437.0,93086.0,1509708.0,4643793086.0,bega cheese,100.0,BGA
1012,2012,bluescope steel,7527149.0,1087624.0,174189540.0,75271491087624.0,bluescope steel,100.0,BSL
1016,2012,boral,2411909.0,523503.0,20652101.0,2411909523503.0,boral,100.0,BLD
1019,2012,bradken,37243.0,102060.0,1149004.0,37243102060.0,bradken,100.0,BKN
1020,2012,brickworks,213638.0,99481.0,4618974.0,21363899481.0,brickworks,100.0,BKW
1030,2012,cbh resources,8592.0,71017.0,415224.0,859271017.0,cbh resources,100.0,CBH1
1032,2012,centennial coal company,1868672.0,266253.0,1507706.0,1868672266253.0,centennial coal company,100.0,CEY
1034,2012,central norseman gold,46319.0,28518.0,818169.0,4631928518.0,central norseman gold,100.0,CNG1
1035,2012,centro properties,1763.0,58259.0,253071.0,176358259.0,centro properties,100.0,CEP
1036,2012,centro retail,1825.0,73474.0,308909.0,182573474.0,centro retail,100.0,CER
1038,2012,charter hall,5237.0,94481.0,415898.0,523794481.0,charter hall,100.0,CHC
1045,2012,coca-cola amatil,52803.0,132019.0,1438899.0,52803132019.0,coca-cola amatil,100.0,CCL
1049,2012,commonwealth bank of australia,24811.0,364306.0,1766884.0,24811364306.0,commonwealth bank of australia,100.0,CBA
1059,2012,csl,11475.0,62839.0,408962.0,1147562839.0,csl,100.0,CSL
