ticker,yearmonth,mom
ABC,202012,0.0072971806843871905
ABC,202101,0.015496131439972258
ABC,202102,-0.0007794271830973698
ABC,202103,0.02490626923430637
ABC,202104,0.0566370384650756
ABC,202105,0.02384093651605011
ABC,202106,0.0267341785397269
ABC,202107,0.016406101525788797
ABC,202108,0.04350646462609752
ABC,202109,0.02809649794494441
ABC,202110,0.013433489884577396
ABC,202111,0.007568336805802027
ABC,202112,-0.0031637917939718874
ABC,202201,-0.011627458261427146
ABC,202202,0.003267922988352323
ABC,202203,0.003078990081410734
ABC,202204,-0.009636627634206973
ABC,202205,-0.005885821519112701
ABC,202206,-0.01187517378175689
ABC,202207,-0.02746056499198789
ABC,202208,-0.025353762092677784
ABC,202209,-0.03330449268526541
ABC,202210,-0.04239714073349568
ABC,202211,-0.04794900392728579
ABC,202212,-0.037200983615507076
ABY1,200701,-0.03899910914532985
ABY1,200702,-0.04644511935064297
ABY1,200703,-0.06467620928512777
ABY1,200704,-0.053742097525327936
ABY1,200705,-0.042289657638482116
ABY1,200706,-0.04150020605537974
ABY1,200707,-0.0064647450624719435
ABY1,200708,0.010820786307566489
ABY1,200709,0.01508750476126659
ABY1,200710,0.06337532753415152
ABY1,200711,0.06554728561985688
ABY1,200712,0.031477548435365585
ABY1,200801,0.012748184528018302
ABY1,200802,-0.0007958088228848433
ABY1,200803,0.025572742652672703
ABY1,200804,0.00415348161091203
ABY1,200805,0.04141127036471142
ABY1,200806,0.04155058792301047
ABY1,200807,0.006253554444782751
ABY1,200808,-0.04009722909971101
ABY1,200809,-0.02276781577169294
ABY1,200810,-0.07308456339931127
ABY1,200811,-0.1261111076811272
ABY1,200812,-0.1470582843660088
ABY1,200901,-0.13846521077293522
ABY1,200902,-0.1374366175993094
ABY1,200903,-0.18243824809316786
ABY1,200904,-0.12521023020941222
ABY1,200905,-0.030708986771998594
ABY1,200906,0.022636972823961012
ABY1,200907,0.04381069157832491
ABY1,200908,0.09366758786636754
ABY1,200909,0.13113067450486648
ABY1,200910,0.17621164978609644
ABY1,200911,0.245887394300203
ABY1,200912,0.2976844344693362
ABY1,201001,0.2942965180379415
ABY1,201002,0.2568991794751591
ABY1,201003,0.2689184102443899
ABY1,201004,0.2487429716478987
ABY1,201005,0.11627543918036622
ABY1,201006,0.04451617992110694
ABY1,201007,0.03191697357190062
ABY1,201008,0.04514234469200858
ABY1,201009,-0.0004799752341706672
ABY1,201010,0.008739578796704117
ABY1,201011,0.01168049115302596
ABY1,201012,0.0038004219621745328
ABY1,201101,0.024157828004915876
ABY1,201102,0.03081155125856631
ABY1,201103,0.04407147681687898
ABY1,201104,0.04031207832063837
ABY1,201105,0.059845247853807904
ABY1,201106,0.08391932192788198
ABY1,201107,0.08326018821790081
ABY1,201108,0.05084622060656477
ABY1,201109,0.03612259493730905
ABY1,201110,-0.01380853453927496
ABY1,201111,-0.006864090094830522
ABY1,201112,-0.02265511724949404
ABY1,201201,-0.0426125609357513
ABY1,201202,-0.01223906609113378
ABY1,201203,-0.02671441948004281
ABY1,201204,-0.04548791572064431
ABY1,201205,-0.07054818725978908
ABY1,201206,-0.08326186247346429
ABY1,201207,-0.08229408678817449
ABY1,201208,-0.09128764781840965
ABY1,201209,-0.0825029373394243
ABY1,201210,-0.041437169807218566
ABY1,201211,-0.05671930146866056
ABY1,201212,-0.0431676357430818
ABY1,201301,-0.023151710864577638
ABY1,201302,-0.05518399017946565
ABY1,201303,-0.03184952190117715
ABY1,201304,-0.03735651490817016
ABY1,201305,-0.048701540665249635
ABY1,201306,-0.02262173811485885
ABY1,201307,-0.01192094896338176
ABY1,201308,0.0009388983149186064
ABY1,201309,0.0009388983149186064
ABY1,201310,-0.026803221211539812
ABY1,201311,-0.02534819475651335
ABY1,201312,-0.02036454518803403
ABY1,201401,-0.03988506161024487
ABY1,201402,-0.035158170853942364
ABY1,201403,-0.053051388747160276
ABY1,201404,-0.0493345173832301
ABY1,201405,-0.04899083540362189
ABY1,201406,-0.08443109846536834
ABY1,201407,-0.0801272111571973
ABY1,201408,-0.018592608747918054
ABY1,201409,-0.0238762050159834
ABY1,201410,-0.019827622020031986
ABY1,201411,-0.020970479162889143
ABY1,201412,-0.03042770832989922
ABY1,201501,-0.03582857390558222
ABY1,201502,-0.028991628601144664
ABY1,201503,-0.035683547793063854
ABY1,201504,-0.025558522726123124
ABY1,201505,-0.0074247198263216576
ABY1,201506,0.01614507422402158
ABY1,201507,0.025906978985926355
ABY1,201508,-0.030552351157614323
ABY1,201509,-0.028409494014757175
ABY1,201510,-0.045615971747550686
ABY1,201511,0.01171736158578266
ABY1,201512,0.006826057237956573
ABY1,201601,0.01816651862418455
ABY1,201602,0.013858386083786575
ABY1,201603,0.022981012667184664
ABY1,201604,0.026687333452207626
ABY1,201605,0.07927762973529565
ABY1,201606,0.07602943871536551
ABY1,201607,0.09091039109631789
ABY1,201608,0.1308454560313828
ABY1,201609,0.15668052117872322
ABY1,201610,0.2178816606734227
ABY1,201611,0.15479132614144056
ABY1,201612,0.2369674185463659
ABY1,201701,0.2369674185463659
ABY1,201702,0.2369674185463659
ABY1,201703,0.2369674185463659
ABY1,201704,0.2984126984126984
ABY1,201705,0.19761904761904775
ABY1,201706,0.19761904761904775
ABY1,201707,
ABY1,201708,
ABY1,201709,
ABY1,201710,
ABY1,201711,
ABY1,201712,
ABY1,201801,
ABY1,201802,
ABY1,201803,
ABY1,201804,
ABY1,201805,
ABY1,201806,
ABY1,201807,
ABY1,201808,
ABY1,201809,
ABY1,201810,
ABY1,201811,
ABY1,201812,
ABY1,201901,
ABY1,201902,
ABY1,201903,
ABY1,201904,
ABY1,201905,
ABY1,201906,
ABY1,201907,
ABY1,201908,
ABY1,201909,
ABY1,201910,
ABY1,201911,
ABY1,201912,
ABY1,202001,
ABY1,202002,
ABY1,202003,
ABY1,202004,
ABY1,202005,
ABY1,202006,
ABY1,202007,
ABY1,202008,
ABY1,202009,
ABY1,202010,
ABY1,202011,
ABY1,202012,
ABY1,202101,
ABY1,202102,
ABY1,202103,
ABY1,202104,
ABY1,202105,
ABY1,202106,
ABY1,202107,
ABY1,202108,
ABY1,202109,
ABY1,202110,
ABY1,202111,
ABY1,202112,
ABY1,202201,
ABY1,202202,
ABY1,202203,
ABY1,202204,
ABY1,202205,
ABY1,202206,
ABY1,202207,
ABY1,202208,
ABY1,202209,
ABY1,202210,
ABY1,202211,
ABY1,202212,
AEJ,200701,
AEJ,200702,
AEJ,200703,
AEJ,200704,-0.008674506387920944
AEJ,200705,0.04504441890923475
AEJ,200706,0.06839869879731067
AEJ,200707,0.04174598606487556
AEJ,200708,0.024191019215912674
AEJ,200709,0.005743977670076823
AEJ,200710,0.004163911495799977
AEJ,200711,0.018361748490093803
AEJ,200712,0.008243365052127371
AEJ,200801,-0.0007152138930189036
AEJ,200802,-0.026697279401933994
AEJ,200803,-0.0180749834769121
AEJ,200804,-0.03606512035291854
AEJ,200805,-0.03215805209424782
AEJ,200806,-0.0683227229554886
AEJ,200807,-0.10630058846144397
AEJ,200808,-0.09449152054236883
AEJ,200809,-0.14613313800524233
AEJ,200810,-0.17187421483524837
AEJ,200811,-0.18607471341074697
AEJ,200812,-0.21983953958661606
AEJ,200901,-0.1524186226412426
AEJ,200902,-0.16577089536851533
AEJ,200903,-0.18617780421355803
AEJ,200904,-0.16811822289310716
AEJ,200905,-0.10990221497095094
AEJ,200906,-0.09692475116788496
AEJ,200907,-0.05041648025652417
AEJ,200908,-0.05993894511596192
AEJ,200909,-0.007885805019343559
AEJ,200910,0.020744799269155456
AEJ,200911,0.022823801348157535
AEJ,200912,0.06691512554907077
AEJ,201001,0.02785262554907077
AEJ,201002,0.05408867020616806
AEJ,201003,0.06454125641306462
AEJ,201004,0.05882395683500555
AEJ,201005,-0.03452449365630209
AEJ,201006,-0.031804319565160256
AEJ,201007,-0.03810471225290211
AEJ,201008,-0.020273386951697295
AEJ,201009,-0.02528906093288852
AEJ,201010,0.04083132661607047
AEJ,201011,0.04626581062902886
AEJ,201012,0.043319012285607396
AEJ,201101,0.022916713435032675
AEJ,201102,0.0409039893170454
AEJ,201103,0.04753033340306689
AEJ,201104,-0.03952727445020099
AEJ,201105,0.08194494777202123
AEJ,201106,0.07045095243235462
AEJ,201107,0.03178825587692062
AEJ,201108,0.03997007405873881
AEJ,201109,0.05589483894902094
AEJ,201110,-0.03218039114301587
AEJ,201111,-0.027836181490407935
AEJ,201112,-0.0304351655885107
AEJ,201201,-0.05525577689549228
AEJ,201202,-0.06264283428254967
AEJ,201203,-0.08349216863994853
AEJ,201204,0.07014350785287082
AEJ,201205,-0.009223630511909053
AEJ,201206,0.0019136558539128805
AEJ,201207,0.03936082859237114
AEJ,201208,0.013792646774189324
AEJ,201209,0.011121964043265617
AEJ,201210,0.06328201505554046
AEJ,201211,0.06752048336375667
AEJ,201212,0.07788703435358235
AEJ,201301,0.13963048594358543
AEJ,201302,0.13088865587822598
AEJ,201303,0.1482438967911592
AEJ,201304,0.08131657427722415
AEJ,201305,0.08543879774268243
AEJ,201306,0.09077356322782384
AEJ,201307,0.09041173600032495
AEJ,201308,0.0767602208488098
AEJ,201309,0.07713859384492652
AEJ,201310,0.04008574831647123
AEJ,201311,0.0396712405444505
AEJ,201312,0.032430410640787305
AEJ,201401,-0.024647174890428142
AEJ,201402,-0.0036583959532063837
AEJ,201403,-0.006240515199845327
AEJ,201404,-0.006240515199845327
AEJ,201405,-0.006240515199845327
AEJ,201406,-0.0004710743801652484
AEJ,201407,-0.023316115702479268
AEJ,201408,0.03335629017447209
AEJ,201409,0.05416666666666681
AEJ,201410,
AEJ,201411,
AEJ,201412,
AEJ,201501,
AEJ,201502,
AEJ,201503,
AEJ,201504,
AEJ,201505,
AEJ,201506,
AEJ,201507,
AEJ,201508,
AEJ,201509,
AEJ,201510,
AEJ,201511,
AEJ,201512,
AEJ,201601,
AEJ,201602,
AEJ,201603,
AEJ,201604,
AEJ,201605,
AEJ,201606,
AEJ,201607,
AEJ,201608,
AEJ,201609,
AEJ,201610,
AEJ,201611,
AEJ,201612,
AEJ,201701,
AEJ,201702,
AEJ,201703,
AEJ,201704,
AEJ,201705,
AEJ,201706,
AEJ,201707,
AEJ,201708,
AEJ,201709,
AEJ,201710,
AEJ,201711,
AEJ,201712,
AEJ,201801,
AEJ,201802,
AEJ,201803,
AEJ,201804,
AEJ,201805,
AEJ,201806,
AEJ,201807,
AEJ,201808,
AEJ,201809,
AEJ,201810,
AEJ,201811,
AEJ,201812,
AEJ,201901,
AEJ,201902,
AEJ,201903,
AEJ,201904,
AEJ,201905,
AEJ,201906,
AEJ,201907,
AEJ,201908,
AEJ,201909,
AEJ,201910,
AEJ,201911,
AEJ,201912,
AEJ,202001,
AEJ,202002,
AEJ,202003,
AEJ,202004,
AEJ,202005,
AEJ,202006,
AEJ,202007,
AEJ,202008,
AEJ,202009,
AEJ,202010,
AEJ,202011,
AEJ,202012,
AEJ,202101,
AEJ,202102,
AEJ,202103,
AEJ,202104,
AEJ,202105,
AEJ,202106,
AEJ,202107,
AEJ,202108,
AEJ,202109,
AEJ,202110,
AEJ,202111,
AEJ,202112,
AEJ,202201,
AEJ,202202,
AEJ,202203,
AEJ,202204,
AEJ,202205,
AEJ,202206,
AEJ,202207,
AEJ,202208,
AEJ,202209,
AEJ,202210,
AEJ,202211,
AEJ,202212,
AGL,200701,
AGL,200702,
AGL,200703,
AGL,200704,-0.033854439892871124
AGL,200705,-0.03806946175078041
AGL,200706,-0.02822618762358864
AGL,200707,-0.025568406700954015
AGL,200708,-0.018011096159461726
AGL,200709,-0.016084116480037127
AGL,200710,-0.01025878503124314
AGL,200711,-0.03586425744256516
AGL,200712,-0.025804749201394882
AGL,200801,-0.019986624775621478
AGL,200802,-0.026454246348173976
AGL,200803,-0.02597674829306662
AGL,200804,-0.027687018658415868
AGL,200805,-0.012791753995833257
AGL,200806,-0.00016694248605187792
AGL,200807,0.0004413609206110151
AGL,200808,-0.0066842972770995894
AGL,200809,0.006105248188472245
AGL,200810,-0.005395711198061472
AGL,200811,0.016305789876299503
AGL,200812,0.01884506166653398
AGL,200901,0.015444355532071305
AGL,200902,0.020246315003799014
AGL,200903,0.017740548140230506
AGL,200904,0.029969995563288193
AGL,200905,0.01984077546920483
AGL,200906,0.0008798741770553361
AGL,200907,-0.0017005390825017563
AGL,200908,0.01276140791514573
AGL,200909,-0.004908978271684072
AGL,200910,0.002317819956682445
AGL,200911,0.0018942892054386873
AGL,200912,-0.0062192651479281895
AGL,201001,-0.004676724880853013
AGL,201002,-0.0025900832801070417
AGL,201003,0.008729396861018627
AGL,201004,0.0015177585469456727
