,ticker,morningstar_name,year,capex,eoy_price,eps,ltdebt,marketcap,ppe,revenue,roe,stdebt,assets,liabilities
175,AHA1,ashanti goldfields company,2000,-262815884.0,4.2,-225.59,647111913.0,474164661.6,1165703971.0,1050902527.0,0.1001,12996389.0,1689891696.0,1186642599.0
176,AHC,austco healthcare,2000,-377974.0,0.37,3.33,3728821.0,2645984.7,,,0.025699999999999997,,15741991.0,6456704.0
177,AHC1,ahc,2000,-377974.0,0.37,3.33,3728821.0,2645984.7,,,0.025699999999999997,,15741991.0,6456704.0
178,AHF,australian dairy nutritionals,2000,,,,,,,,,,,
179,AHF1,australian healthcare investment fund,2000,,0.2,2.19,,2932453.4,,540548.0,0.113,,9244668.0,471931.0
180,AHG,automotive,2000,,,,,,,,,,,
181,AHG2,advance healthcare,2000,-621156.0,0.12,-0.47,61351.0,7649757.88,1703420.0,118951301.0,-0.034300000000000004,6056552.0,34203141.0,24943078.0
182,AHI,advanced human imaging,2000,,,,,,,,,,,
183,AHI2,allco hit,2000,,,,,,,,,,,
184,AHJ,air change international,2000,-263399.0,,-0.16,,,92069.0,289295.0,-0.019799999999999998,,7703636.0,
185,AHK,ark mines,2000,,,,,,,,,,,
186,AHL,adrad,2000,-35583.0,0.26,0.93,,20400000.0,75101.0,3277140.0,-0.0852,,11666813.0,509740.0
187,AHN,athena resources,2000,,,,,,,,,,,
188,AHO,australian hotel fund,2000,-774000.0,0.72,7.77,40971000.0,36073568.16,,,0.0833,,90310000.0,43551000.0
189,AHQ,allegiance coal,2000,,,,,,,,,,,
190,AHR,anchor resources,2000,,,,,,,,,,,
191,AHU,allco hybrid investment trust,2000,,,,,,,,,,,
192,AHX,apiam animal health,2000,,,,,,,,,,,
193,AHX1,australian hospital care,2000,-25375000.0,0.48,-48.76,170127000.0,79033115.83,316086000.0,377533000.0,0.0751,3980000.0,413118000.0,234581000.0
194,AHY,asaleo care,2000,,,,,,,,,,,
195,AIA,auckland international airport,2000,-28418064.0,2.05,7.82,186613798.0,861000000.0,494175860.0,136362907.0,0.10210000000000001,4945909.0,541387864.0,219674685.0
196,AIB,aurora global income trust,2000,,,,,,,,,,,
197,AIE,autodom,2000,-24467781.0,0.17,1.05,21442691.0,16638850.98,36063574.0,77103152.0,0.0809,8978431.0,65342182.0,44252399.0
198,AIG,aircruising australia,2000,-303000.0,0.12,-0.97,2656.0,1440000.0,2209320.0,8615302.0,-0.07980000000000001,788383.0,3777597.0,2325492.0
199,AIH,alinta infrastructure,2000,,,,,,,,,,,
200,AII,almonty industries inc,2000,,,,,,,,,,,
201,AII2,abra mining,2000,,,,,,,,,,,
202,AIM,ai-media technologies,2000,,,,,,,,,,,
203,AIO,asciano,2000,,,,,,,,,,,
204,AIP,amp industrial trust,2000,0.0,1.05,9.28,84000000.0,355582804.5,,,0.0926,,444227000.0,105115000.0
205,AIQ,alternative investment trust,2000,,,,,,,,,,,
206,AIR,astivita,2000,,,,,,,,,,,
207,AIS,aeris resources,2000,,,,,,,,,,,
208,AIV,activex,2000,,,,,,,,,,,
209,AIY,authorised investment fund,2000,-1875.0,0.23,2.17,,2040847.5,,,0.045899999999999996,,4265329.0,72336.0
210,AIZ,air new zealand,2000,-242643189.0,1.77,-84.58,2078884164.0,1004474361.03,5005961816.0,3195861543.0,-0.4939,1141486443.0,7211149526.0,5935612064.0
211,AJA,astro japan property,2000,,,,,,,,,,,
