ticker_year_month,ticker,year,ret,month,MKT-RF,SMB,HML,WML,pmc
FMG_2010_01,FMG,2010,0.0202702702702701,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
GFF_2010_01,GFF,2010,-0.0460526315789474,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
GNC_2010_01,GNC,2010,-0.0725821151252232,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
GRR_2010_01,GRR,2010,0.2405982905982906,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
HVN_2010_01,HVN,2010,-0.1279565336589985,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
ILU_2010_01,ILU,2010,-0.078211382113821,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
KZL_2010_01,KZL,2010,-0.1238095238095238,1,-6.25,4.52,-0.02,-2.71,0.002811776676819
ABY1_2010_02,ABY1,2010,-0.0865384615384615,2,2.63,-2.08,1.57,1.0,0.0050202958768922
AIO_2010_02,AIO,2010,0.0526315789473685,2,2.63,-2.08,1.57,1.0,0.0050202958768922
AMP_2010_02,AMP,2010,-0.0511182108626196,2,2.63,-2.08,1.57,1.0,0.0050202958768922
BKN_2010_02,BKN,2010,0.0746268656716417,2,2.63,-2.08,1.57,1.0,0.0050202958768922
BKW_2010_02,BKW,2010,0.0040816326530612,2,2.63,-2.08,1.57,1.0,0.0050202958768922
BSL_2010_02,BSL,2010,-0.0763366805110141,2,2.63,-2.08,1.57,1.0,0.0050202958768922
CCL_2010_02,CCL,2010,0.0265324794144556,2,2.63,-2.08,1.57,1.0,0.0050202958768922
CRG_2010_02,CRG,2010,-0.0476190476190475,2,2.63,-2.08,1.57,1.0,0.0050202958768922
CSR_2010_02,CSR,2010,-0.1123301333998255,2,2.63,-2.08,1.57,1.0,0.0050202958768922
DJS_2010_02,DJS,2010,-0.0042016806722687,2,2.63,-2.08,1.57,1.0,0.0050202958768922
DOW_2010_02,DOW,2010,-0.0493415300178911,2,2.63,-2.08,1.57,1.0,0.0050202958768922
ENE1_2010_02,ENE1,2010,-0.1309090909090908,2,2.63,-2.08,1.57,1.0,0.0050202958768922
ENV1_2010_02,ENV1,2010,0.0612244897959184,2,2.63,-2.08,1.57,1.0,0.0050202958768922
