year,ticker,ticker_year,scope1,scope2,total_emissions,energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2013,DOW,DOW_2013,156804.0,48934.0,205738.0,2939595.0,17125.0,2291.0,19416.0,205617.0,0.187228343737694,0.0584285590447968,0.2456569027824909,3.5099583117114794
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2014,DOW,DOW_2014,155319.0,44406.0,199725.0,2996080.0,-1485.0,-4528.0,-6013.0,56485.0,0.2107003130951928,0.0602396236346173,0.2709399367298102,4.06437714676405
2015,DOW,DOW_2015,162624.0,49979.0,212603.0,2970344.0,7305.0,5573.0,12878.0,-25736.0,0.231661419678343,0.0711961708856251,0.3028575905639681,4.231319534466303
2015,DOW,DOW_2015,162624.0,49979.0,212603.0,2970344.0,7305.0,5573.0,12878.0,-25736.0,0.231661419678343,0.0711961708856251,0.3028575905639681,4.231319534466303
2015,DOW,DOW_2015,162624.0,49979.0,212603.0,2970344.0,7305.0,5573.0,12878.0,-25736.0,0.231661419678343,0.0711961708856251,0.3028575905639681,4.231319534466303
