ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABL,Abilene Oil and Gas Limited,Annual Balance Sheet - NCL Long-Term Debt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,863,488.00","1,237,500.00",0.00,0.00, , , 
ABP,Abacus Property Group,Annual Balance Sheet - NCL Long-Term Debt, , ,"120,331,000.00","67,500,000.00","3,100,000.00","142,914,000.00","383,387,000.00","222,751,000.00","580,874,000.00","339,231,000.00","114,500,000.00","436,682,000.00","774,860,000.00","639,290,000.00","620,247,000.00","544,045,000.00","631,323,000.00","549,184,000.00","693,742,000.00","744,535,000.00","1,009,760,000.00","988,525,000.00","1,709,241,000.00"
ABR,American Pacific Borates Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , ,--, ,--,--,--,"166,131.00", 
ABS,A.B.C. Learning Centres Limited,Annual Balance Sheet - NCL Long-Term Debt,"6,923,000.00","9,212,000.00","15,082,000.00","53,314,000.00","83,353,000.00","195,665,000.00","234,888,000.00","610,400,000.00", , , , , , , , , , , , , , , 
ABT,Abundant Produce Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , ,0.00,0.00,--,--,--, , , 
ABV,Advanced Braking Technology Ltd,Annual Balance Sheet - NCL Long-Term Debt, ,"73,887.00","53,623.00","99,000.00","66,000.00","33,000.00","925,000.00","78,000.00","62,000.00","194,000.00","211,000.00","133,000.00","317,000.00","395,000.00","2,472,000.00","2,270,000.00","13,000.00","1,344,000.00","76,000.00","59,000.00","472,000.00","406,000.00", 
ABW,Aurora Absolute Return Fund,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--, , 
ABX,ABx Group Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , ,"2,400,000.00","2,400,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
ABX2,Abelle Limited,Annual Balance Sheet - NCL Long-Term Debt, ,0.00,0.00,0.00, , , , , , , , , , , , , , , , , , , 
ABY,Adore Beauty Group Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , ,"700,000.00","926,000.00","624,000.00"
ABY1,Aditya Birla Minerals Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , ,"7,344,000.00","179,781,000.00","38,830,000.00","4,423,000.00","111,389,000.00","6,486,000.00","3,792,000.00",0.00,0.00,0.00,0.00,0.00, , , , , , 
AC8,AusCann Group Holdings Ltd,Annual Balance Sheet - NCL Long-Term Debt,--,--,"1,667,000.00","3,941,000.00","7,033,000.00","10,180,000.00","1,828,000.00","16,346,000.00","10,211,000.00",0.00,--,--,--,--,--,--,--,--,--,--,"54,433.00","39,871.00", 
ACB,A-Cap Energy Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--,"7,113,680.00","7,124,468.00",--, 
ACDC,ETFS Battery Tech & Lithium ETF,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , ,--,--,--, 
ACE,Acusensus Limited,Annual Balance Sheet - NCL Long-Term Debt,"30,757.00","176,047.00","525,235.00","2,495,531.00","204,083.00","1,734,001.00","3,746,507.00","3,731,224.00","2,974,912.00",--,"3,120,082.00",--,--,--,--,--, , , , , , , 
ACF,Acrow Formwork and Construction Services Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , ,"2,015,427.00","2,531,276.00",--,0.00,"4,837,601.00",--,--,--,--,--,0.00,"4,837,086.00","46,566,911.00","41,836,851.00","39,133,553.00"
ACL,Australian Clinical Labs Limited,Annual Balance Sheet - NCL Long-Term Debt, , , ,"184,516.00","2,000.00","628,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,--,--,"199,200,000.00","224,055,000.00","167,610,000.00"
ACN,Acer Energy Limited,Annual Balance Sheet - NCL Long-Term Debt, , , ,--,--,--,--,--,0.00,0.00,0.00,0.00,0.00, , , , , , , , , , 
ACO,Australian Careers Network Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , ,"758,000.00","630,000.00", , , , , , , 
