ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AAU,Antilles Gold Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,"200,000.00","300,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"501,000.00",0.00,"30,000.00","81,205.00","2,076,612.00","20,949.00","48,146.00", 
AAU1,Adcorp Australia Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,"200,000.00","300,000.00","319,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"501,000.00",0.00,"30,000.00","81,205.00","2,076,612.00", , , 
AAX,Ausenco Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , ,"305,000.00","748,000.00","1,270,000.00","27,463,000.00","15,652,000.00","19,451,000.00","9,268,000.00","29,347,000.00","42,507,000.00","20,028,000.00","62,728,000.00", , , , , , , 
AB1,Abarta Resources Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"341,500.00","2,070,594.00", , , 
AB11,Animoca Brands Corporation Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"341,500.00","2,070,594.00", , , 
ABA,Auswide Bank Ltd,Annual Balance Sheet - CL Short-Term Debt,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABB,Aussie Broadband Limited,Annual Balance Sheet - CL Short-Term Debt, ,"266,950,000.00","30,072,000.00","9,315,000.00","143,938,000.00","102,592,000.00","269,500,000.00","141,600,000.00","93,100,000.00", , , , , , , , , , , ,"9,509,000.00","5,489,000.00","76,835,000.00"
ABB1,ABB Grain Limited,Annual Balance Sheet - CL Short-Term Debt, ,"266,950,000.00","30,072,000.00","9,315,000.00","143,938,000.00","102,592,000.00","269,500,000.00","141,600,000.00","93,100,000.00", , , , , , , , , , , , , , 
ABC,ADBRI Limited,Annual Balance Sheet - CL Short-Term Debt,"54,977,000.00",0.00,"519,000.00","229,840,000.00","215,501,000.00","250,425,000.00","40,400,000.00","60,700,000.00","400,000.00","400,000.00","1,000,000.00","700,000.00","20,000,000.00",0.00,"1,400,000.00","1,000,000.00","400,000.00","300,000.00",0.00,"5,700,000.00","3,900,000.00","4,800,000.00", 
ABE,Australian Bond Exchange Holdings Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , , ,--, 
ABF,Ausmani Limited,Annual Balance Sheet - CL Short-Term Debt,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , , , , , , 
ABG,Abigroup Limited,Annual Balance Sheet - CL Short-Term Debt,"19,333,000.00","11,294,000.00","10,264,000.00","17,286,000.00", , , , , , , , , , , , , , , , , , , 
ABL,Abilene Oil and Gas Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"60,000.00",0.00,"554,748.00","3,101,180.00","5,148,473.00","5,061,229.00", , , 
ABP,Abacus Property Group,Annual Balance Sheet - CL Short-Term Debt, , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABR,American Pacific Borates Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , ,0.00, ,0.00,0.00,0.00,"95,789.00", 
ABS,A.B.C. Learning Centres Limited,Annual Balance Sheet - CL Short-Term Debt,"242,000.00","1,095,000.00","5,460,000.00","2,316,000.00","19,671,000.00","4,456,000.00","8,067,000.00","1,149,700,000.00", , , , , , , , , , , , , , , 
ABT,Abundant Produce Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00, , , 
ABV,Advanced Braking Technology Ltd,Annual Balance Sheet - CL Short-Term Debt, ,"3,161,958.00","46,727.00","93,000.00","2,228,000.00","4,034,000.00","58,000.00","20,000.00","56,000.00","107,000.00","143,000.00","102,000.00","89,000.00","251,000.00","943,000.00","202,000.00","1,940,000.00","27,000.00","1,818,000.00","2,129,000.00","55,000.00","283,000.00", 
ABW,Aurora Absolute Return Fund,Annual Balance Sheet - CL Short-Term Debt, , , , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , 
ABX,ABx Group Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , ,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
ABX2,Abelle Limited,Annual Balance Sheet - CL Short-Term Debt, ,0.00,0.00,0.00, , , , , , , , , , , , , , , , , , , 
ABY,Adore Beauty Group Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , ,"3,800,000.00","420,000.00","548,000.00"
ABY1,Aditya Birla Minerals Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , ,"7,793,000.00","137,652,000.00","88,221,000.00","2,133,000.00","31,016,000.00","819,000.00","1,709,000.00","677,000.00","650,000.00","650,000.00","1,279,000.00",0.00, , , , , , 
AC8,AusCann Group Holdings Ltd,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,"520,000.00","4,136,000.00","4,270,000.00","10,233,000.00","17,682,000.00","2,575,000.00","13,712,000.00","18,278,000.00","18,762,120.00","12,108,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"39,884.00","45,433.00", 
ACB,A-Cap Energy Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"500,000.00","1,471,440.00","13,753,483.00", 
ACDC,ETFS Battery Tech & Lithium ETF,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , ,--,--,--, 
ACE,Acusensus Limited,Annual Balance Sheet - CL Short-Term Debt,"5,384.00","80,924.00","3,549,412.00","760,690.00","6,301,529.00","1,225,215.00","1,153,926.00","1,126,634.00","2,066,958.00","8,821,580.00","6,323,935.00","9,981,230.00","10,135,227.00","10,094,194.00","10,074,257.00","10,137,920.00", , , , , , , 
ACF,Acrow Formwork and Construction Services Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , ,0.00,0.00,0.00,"32,310,270.00","29,183,593.00","5,318,598.00",0.00,0.00,0.00,0.00,0.00,"2,102,006.00","9,401,859.00","14,409,874.00","24,966,898.00"
ACL,Australian Clinical Labs Limited,Annual Balance Sheet - CL Short-Term Debt, , , ,"1,063,759.00","183,000.00","2,000.00","1,707,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"64,200,000.00","70,206,000.00","94,767,000.00"
ACN,Acer Energy Limited,Annual Balance Sheet - CL Short-Term Debt, , , ,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , , , 
ACO,Australian Careers Network Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , ,"390,000.00","190,000.00", , , , , , , 
ACP,Audalia Resources Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , ,0.00, ,0.00,0.00,0.00,"3,000,000.00","3,625,000.00",0.00,"100,000.00","3,000,000.00",0.00,0.00, 
ACQ,Acorn Capital Investment Fund Limited ,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , ,--,--,--,--,--,--,--,--,--
ACR,Acrux Limited,Annual Balance Sheet - CL Short-Term Debt, , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"167,000.00","185,000.00","224,000.00"
ACS,Accent Resources N.L.,Annual Balance Sheet - CL Short-Term Debt, , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"35,789.00", 
ACU,Acumentis Group Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ACW,Actinogen Medical Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"86,018.00","71,170.00","78,337.00"
ACX,Aconex Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , ,0.00,0.00,"32,000.00","189,000.00", , , , , 
ACY,Australian Commercial Property Trust ,Annual Balance Sheet - CL Short-Term Debt,--,--, , , , , , , , , , , , , , , , , , , , , 
AD1,AD1 Holdings Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , ,"1,188,787.00","1,214,020.00",0.00,0.00,0.00,"85,690.00","54,224.00","84,024.00"
AD8,Audinate Group limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,"585,000.00","656,000.00","860,000.00"
ADA,Adacel Technologies Limited,Annual Balance Sheet - CL Short-Term Debt,"3,459,000.00","3,620,000.00","155,000.00","124,000.00","4,412,000.00","4,846,000.00","13,000.00",0.00,"1,863,000.00","1,311,000.00","2,397,000.00","73,000.00",0.00,"4,000.00","5,000.00",0.00,0.00,0.00,0.00,0.00,"1,406,000.00","1,378,000.00",--
ADB,Adelaide Bank Limited,Annual Balance Sheet - CL Short-Term Debt,--,--,--,--,--,--,--,--, , , , , , , , , , , , , , , 
ADD,Adavale Resources Limited,Annual Balance Sheet - CL Short-Term Debt,"535,897.00","957,429.00","655,326.00","347,142.00","285,705.00","2,804,668.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"180,000.00","50,000.00",0.00,0.00,0.00, 
ADE,Adelaide Energy Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , ,0.00,0.00,0.00,"16,951.00","94,581.00", , , , , , , , , , , 
ADEF,Apostle Dundas Global Equity Fund,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , , ,--, 
ADG,Adtrans Group Limited,Annual Balance Sheet - CL Short-Term Debt,"2,617,719.00","3,160,000.00","68,003,000.00","67,595,000.00","70,136,000.00","74,593,000.00","75,587,000.00","83,091,000.00","109,271,000.00","87,409,000.00","84,980,000.00", , , , , , , , , , , , 
ADH,Adairs Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , ,0.00,"-121,000.00","-121,000.00","-44,000.00","-44,000.00","-50,000.00","36,252,000.00","33,473,000.00","45,820,000.00"
ADI2,Adelphi Energy Limited,Annual Balance Sheet - CL Short-Term Debt,"45,000.00","35,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , , , , , , 
ADN,Andromeda Metals Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"70,851.00","56,974.00", 
ADO,AnteoTech Limited,Annual Balance Sheet - CL Short-Term Debt,"11,364.00","47,903.00","190,306.00","91,393.00","115,340.00","37,456.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,266,324.00",0.00,0.00,0.00,"134,868.00","277,167.00","257,539.00"
ADP,AMP Diversified Property Trust,Annual Balance Sheet - CL Short-Term Debt,--,--,--,--, , , , , , , , , , , , , , , , , , , 
ADQ,ADG Global Supply Limited,Annual Balance Sheet - CL Short-Term Debt,"13,245,072.00","11,405,738.00","5,451,465.00","4,826,834.00","4,029,871.00","4,090,209.00","8,769,200.00","8,724,329.00","114,677.00","7,017,357.00","5,386,436.00","1,200,000.00","2,509,000.00","5,049,000.00","7,310,000.00","7,790,000.00", , , , , , , 
ADR,Adherium Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
ADS,Adslot Ltd,Annual Balance Sheet - CL Short-Term Debt,"14,021,523.00","1,605,937.00","1,291,390.00","1,302,375.00","1,953,853.00","909,520.00","260,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"60,248.00","146,300.00","1,045,304.00","766,075.00","495,488.00"
ADT,Adriatic Metals Plc,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,"18,850.00","194,800.00", 
ADT1,Advent Limited,Annual Balance Sheet - CL Short-Term Debt,--,--,--,--,--,--,--,--, , , , , , , , , , , , , , , 
ADU,Adamus Resources Limited,Annual Balance Sheet - CL Short-Term Debt,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"551,403.00","22,523,152.00", , , , , , , , , , , 
ADV,Ardiden Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , ,0.00,0.00,"182,575.00",0.00,0.00,0.00,0.00,0.00,0.00,"260,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"62,565.00", 
ADV1,Australian Development Capital Fund,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,0.00, , , , , , , , , , , , , , , , , , , 
ADX,ADX Energy Ltd,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,0.00,"22,001.00","22,001.00","22,001.00","22,001.00","58,982.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,850,000.00","1,024,524.00","3,342,232.00", 
ADY,Admiralty Resources NL,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,"145,982.00",0.00,0.00,"2,654,125.00","11,935,380.00","17,473,529.00","6,125,235.00",0.00,0.00,0.00,0.00,0.00,"3,254,012.00","3,493,692.00","389,185.00","145,205.00","4,825,669.00","3,864,055.00","9,485,707.00", 
ADZ,Adsteam Marine Limited,Annual Balance Sheet - CL Short-Term Debt,"5,000.00","46,200,000.00","36,734,000.00","67,106,000.00","67,279,000.00","47,588,000.00","8,132,000.00", , , , , , , , , , , , , , , , 
AE1,Aerison Group Ltd,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , ,"10,588,000.00","15,851,000.00", 
AEB,Affinity Energy and Health Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , ,0.00,0.00,"619,641.00","3,503,869.00","2,197,165.00","2,285,959.00","3,936,024.00","6,183,971.00","4,244,376.00","5,967,087.00", , , 
AEC,Ammtec Limited,Annual Balance Sheet - CL Short-Term Debt,"134,022.00","108,309.00","156,776.00","154,401.00","203,162.00","284,930.00","325,270.00","587,464.00","1,126,454.00","1,594,841.00","1,978,242.00", , , , , , , , , , , , 
AED,AED Oil Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , ,0.00,0.00,"64,585,659.00",0.00,"78,358,000.00","22,343,000.00",0.00,0.00,0.00,0.00,0.00, , , , , , , 
AEE,Aura Energy Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"31,136.00","221,016.00","43,040.00",0.00,"47,803.00",0.00,"960,882.00","344,445.00","312,500.00", 
AEF,Australian Ethical Investment Limited,Annual Balance Sheet - CL Short-Term Debt, ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,0.00,0.00,0.00,"529,000.00","740,000.00","787,000.00"
AEG,Absolute Equity Performance Fund Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , ,--,--,--,--,--,--,--,--
AEH,Aveo Healthcare Limited,Annual Balance Sheet - CL Short-Term Debt,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , , , , , , , , 
AEH1,Aerosonde Holdings Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,"1,000,000.00", , , , , , , , , , , , , , , , , , , , , 
AEI,Aeris Environmental Ltd,Annual Balance Sheet - CL Short-Term Debt,0.00,0.00,0.00,"7,280.00","7,881.00","6,854.00",0.00,"18,423.00","26,611.00","27,423.00","8,337.00",0.00,"2,280,000.00","100,000.00","100,000.00","2,515,000.00","1,015,000.00",0.00,0.00,0.00,"88,568.00","91,225.00", 
