ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABF,Ausmani Limited,Annual Profit and Loss - Total Revenue Excluding Int,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , , , , , , 
ABG,Abigroup Limited,Annual Profit and Loss - Total Revenue Excluding Int,"698,537,000.00","749,242,000.00","583,205,000.00","747,891,000.00", , , , , , , , , , , , , , , , , , , 
ABL,Abilene Oil and Gas Limited,Annual Profit and Loss - Total Revenue Excluding Int,--,--,--,--,"1,842.00",--,--,555.00,--,"59,315.00","5,446.00","255,644.00","699,361.00","349,714.00","341,713.00","477,608.00","293,099.00","91,034.00","318,870.00","42,522.00", , , 
ABP,Abacus Property Group,Annual Profit and Loss - Total Revenue Excluding Int, , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABR,American Pacific Borates Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , ,--, ,"235,957.00","131,304.00","50,860.00","66,298.00", 
ABS,A.B.C. Learning Centres Limited,Annual Profit and Loss - Total Revenue Excluding Int,"9,647,000.00","12,042,000.00","22,965,000.00","45,558,000.00","80,431,000.00","290,346,000.00","626,128,000.00","1,681,000,000.00", , , , , , , , , , , , , , , 
ABT,Abundant Produce Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , ,--,"559,778.00","435,670.00","1,128,897.00","1,371,167.00", , , 
ABV,Advanced Braking Technology Ltd,Annual Profit and Loss - Total Revenue Excluding Int, ,--,"250,100.00","1,490,000.00","2,071,000.00","2,365,000.00","2,133,000.00","2,547,000.00","4,379,000.00","3,680,000.00","4,635,000.00","7,135,000.00","7,870,000.00","8,108,000.00","6,229,000.00","6,869,000.00","5,338,000.00","7,686,000.00","7,860,000.00","7,430,000.00","9,076,000.00","10,444,000.00","11,741,000.00"
ABW,Aurora Absolute Return Fund,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , 
ABX,ABx Group Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , ,--,--,8.00,"532,911.00","533,488.00","657,632.00","347,285.00","1,474,904.00","4,023,819.00","2,576,000.00","960,000.00","2,965,000.00","3,915,000.00","547,000.00", 
ABX2,Abelle Limited,Annual Profit and Loss - Total Revenue Excluding Int, ,"34,728,000.00","39,781,000.00","29,089,000.00", , , , , , , , , , , , , , , , , , , 
ABY,Adore Beauty Group Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , ,--,"179,277,000.00","199,660,000.00"
ABY1,Aditya Birla Minerals Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , ,--,"195,118,000.00","331,475,000.00","670,771,000.00","388,679,000.00","409,979,000.00","463,791,000.00","496,574,000.00","502,379,000.00","333,790,000.00","88,768,000.00","208,765,000.00", , , , , , 
AC8,AusCann Group Holdings Ltd,Annual Profit and Loss - Total Revenue Excluding Int,"183,654.00","-42,554.00","3,701,000.00","13,513,000.00","16,072,000.00","20,699,000.00","22,853,000.00","13,720,000.00","46,911,000.00","17,622,000.00","9,736,083.00","1,810,195.00","12,675,228.00",--,--,--,--,"260,396.00","53,814.00","670,606.00","1,327,879.00","1,826,652.00", 
ACB,A-Cap Energy Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , ,"12,397.00",--,"10,665.00","62,054.00","51,574.00","20,537.00","11,853.00","1,809,085.00","396,740.00","486,368.00","962,605.00","162,020.00","86,562.00","19,991.00","95,368.00","612,107.00", 
ACDC,ETFS Battery Tech & Lithium ETF,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , ,--,--,--, 
