ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AAU,Antilles Gold Limited,Annual Balance Sheet - NCA PP&E,"7,754.00","7,992.00","5,026.00","2,296.00","40,309.00","38,670.00","33,089.00","12,464.00","245,481.00","2,123,000.00","957,000.00","1,350,000.00","2,399,000.00","1,823,000.00","1,203,000.00","683,000.00","725,000.00","642,000.00","611,357.00","360,276.00","5,861,471.00","5,815,814.00", 
AAU1,Adcorp Australia Limited,Annual Balance Sheet - NCA PP&E,"3,409,000.00","3,222,000.00","2,696,000.00","3,121,000.00","2,534,000.00","1,922,000.00","2,232,000.00","2,183,000.00","2,290,000.00","2,123,000.00","957,000.00","1,350,000.00","2,399,000.00","1,823,000.00","1,203,000.00","683,000.00","725,000.00","642,000.00","611,357.00","360,276.00", , , 
AAX,Ausenco Limited,Annual Balance Sheet - NCA PP&E, , , , , ,"2,571,000.00","5,032,000.00","7,089,000.00","20,558,000.00","24,504,000.00","25,805,000.00","28,570,000.00","24,980,000.00","21,560,000.00","17,025,000.00","10,518,000.00", , , , , , , 
AB1,Abarta Resources Limited,Annual Balance Sheet - NCA PP&E, , , , , , , ,--,0.00,--,0.00,"13,352.00","14,136.00","7,974.00",--,"25,533.00","140,139.00","116,970.00","207,871.00","790,802.00", , , 
AB11,Animoca Brands Corporation Limited,Annual Balance Sheet - NCA PP&E, , , , , , , ,--,0.00,--,0.00,"13,352.00","14,136.00","7,974.00",--,"25,533.00","140,139.00","116,970.00","207,871.00","790,802.00", , , 
ABA,Auswide Bank Ltd,Annual Balance Sheet - NCA PP&E,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABB,Aussie Broadband Limited,Annual Balance Sheet - NCA PP&E, ,"4,029,000.00","4,341,000.00","5,127,000.00","463,048,000.00","481,309,000.00","522,100,000.00","554,100,000.00","640,000,000.00", , , , , , , , , , , ,"17,793,000.00","29,668,000.00","108,416,000.00"
ABB1,ABB Grain Limited,Annual Balance Sheet - NCA PP&E, ,"4,029,000.00","4,341,000.00","5,127,000.00","463,048,000.00","481,309,000.00","522,100,000.00","554,100,000.00","640,000,000.00", , , , , , , , , , , , , , 
ABC,ADBRI Limited,Annual Balance Sheet - NCA PP&E,"509,090,000.00","510,672,000.00","561,297,000.00","620,064,000.00","611,957,000.00","665,619,000.00","694,200,000.00","742,500,000.00","801,900,000.00","774,300,000.00","760,600,000.00","851,000,000.00","901,400,000.00","889,700,000.00","989,600,000.00","986,100,000.00","978,400,000.00","1,037,200,000.00","1,061,700,000.00","1,118,300,000.00","1,141,800,000.00","1,160,800,000.00", 
ABE,Australian Bond Exchange Holdings Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , , ,--,--
ABF,Ausmani Limited,Annual Balance Sheet - NCA PP&E,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , , , , , , 
ABG,Abigroup Limited,Annual Balance Sheet - NCA PP&E,"118,177,000.00","113,310,000.00","104,627,000.00","107,503,000.00", , , , , , , , , , , , , , , , , , , 
ABL,Abilene Oil and Gas Limited,Annual Balance Sheet - NCA PP&E,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,017,020.00","8,957,426.00","2,663,154.00","1,500,000.00",0.00,0.00,0.00,0.00,0.00, , , 
