ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AAT,AAT Corporation Limited,Annual Balance Sheet - Total Assets,"65,987,044.00","119,874,000.00","133,102,000.00","170,564,000.00","239,481,000.00","267,760,000.00","297,851,000.00","62,282,000.00","117,271,000.00","134,011,000.00", , ,"44,315.00","3,148.00","76,696.00","337,681.00", , , , , , , 
AAU,Antilles Gold Limited,Annual Balance Sheet - Total Assets,"2,866,335.00","693,301.00","228,373.00","143,910.00","2,093,560.00","4,618,383.00","9,411,324.00","9,595,936.00","22,667,700.00","24,562,440.00","38,530,613.00","44,850,000.00","33,897,000.00","21,458,000.00","18,949,000.00","12,341,000.00","15,552,000.00","13,146,000.00","11,244,941.00","8,177,411.00","40,994,900.00","42,992,465.00", 
AAU1,Adcorp Australia Limited,Annual Balance Sheet - Total Assets,"43,131,000.00","48,246,000.00","45,147,000.00","54,436,000.00","58,339,000.00","56,745,000.00","52,113,000.00","50,776,000.00","55,590,000.00","42,140,000.00","45,822,000.00","44,850,000.00","33,897,000.00","21,458,000.00","18,949,000.00","12,341,000.00","15,552,000.00","13,146,000.00","11,244,941.00","8,177,411.00", , , 
AAX,Ausenco Limited,Annual Balance Sheet - Total Assets, , , , , ,"40,489,000.00","67,108,000.00","178,934,000.00","463,677,000.00","423,665,000.00","406,316,000.00","457,047,000.00","457,695,000.00","408,059,000.00","352,589,000.00","267,645,000.00", , , , , , , 
AB1,Abarta Resources Limited,Annual Balance Sheet - Total Assets, , , , , , , ,"3,401,108.00","3,233,291.00","1,971,070.00","5,684,386.00","4,893,065.00","6,880,276.00","4,077,039.00","2,312,642.00","7,612,604.00","6,182,610.00","4,155,141.00","28,055,350.00","45,914,700.00", , , 
AB11,Animoca Brands Corporation Limited,Annual Balance Sheet - Total Assets, , , , , , , ,"3,401,108.00","3,233,291.00","1,971,070.00","5,684,386.00","4,893,065.00","6,880,276.00","4,077,039.00","2,896,024.00","7,612,604.00","6,182,610.00","4,155,141.00","28,055,350.00","45,914,700.00", , , 
ABA,Auswide Bank Ltd,Annual Balance Sheet - Total Assets,"923,884,648.00","582,931,660.00","617,560,830.00","767,798,965.00","841,893,332.00","889,985,798.00","1,645,119,640.00","1,731,419,794.00","2,277,705,687.00","2,478,095,770.00","2,724,910,851.00","2,708,893,026.00","2,696,594,943.00","2,672,380,982.00","2,634,195,381.00","2,717,023,553.00","3,072,819,905.00","3,289,978,000.00","3,350,275,000.00","3,603,402,000.00","3,789,466,000.00","4,155,785,000.00","4,504,563,000.00"
ABB,Aussie Broadband Limited,Annual Balance Sheet - Total Assets, ,"909,012,000.00","416,563,000.00","225,676,000.00","1,267,441,000.00","1,131,658,000.00","1,539,900,000.00","1,971,200,000.00","1,809,700,000.00", , , , , , , , , , , ,"93,789,000.00","116,913,000.00","628,495,000.00"
ABB1,ABB Grain Limited,Annual Balance Sheet - Total Assets, ,"909,012,000.00","416,563,000.00","225,676,000.00","1,267,441,000.00","1,131,658,000.00","1,539,900,000.00","1,971,200,000.00","1,809,700,000.00", , , , , , , , , , , , , , 
ABC,ADBRI Limited,Annual Balance Sheet - Total Assets,"865,668,000.00","853,240,000.00","922,992,000.00","1,022,723,000.00","1,033,311,000.00","1,122,018,000.00","1,174,700,000.00","1,239,100,000.00","1,358,100,000.00","1,355,000,000.00","1,331,900,000.00","1,466,200,000.00","1,616,700,000.00","1,633,700,000.00","1,813,300,000.00","1,838,500,000.00","1,826,700,000.00","2,013,000,000.00","2,078,100,000.00","2,153,700,000.00","2,122,900,000.00","2,282,900,000.00", 
