ASX Code,Company Name
PPC,Peet Limited
PPE,Peoplein Limited
PPG,PRO-PAC Packaging Limited
PPH,Pushpay Holdings Limited
PPI,Pelorus Property Group Limited
PPK,PPK Group Limited
PPL,Pureprofile Ltd
PPM,Pepper Money Limited
PPM1,Primero Mining Corp.
PPN,Planet Platinum Limited
PPP,Pan Pacific Petroleum NL
PPS,Praemium Limited
PPT,Perpetual Limited
PPY,Papyrus Australia Limited
PR1,Pure Resources Limited
PRC,Pike River Coal Limited
PRG,Programmed Maintenance Services Ltd
PRH,Phillips River Mining Limited
PRL,Province Resources Ltd
PRM,Prominence Energy Limited
PRM1,Plentex Limited
PRN,Perenti Global Limited
PRO,Prophecy International Holdings Limited
PRS,Prospech Limited
PRT,PRT Company Limited
PRU,Perseus Mining Limited
PRV,Premium Investors Limited
PRW,Proto Resources & Investments Ltd
PRX,Prodigy Gold NL
PSA,Petsec Energy Limited
PSC,Prospect Resources Limited
PSH,Penrice Soda Holdings Limited
PSI,PSC Insurance Group Limited
PSI1,Pacific Strategic Investments Limited
PSL,Paterson Resources Ltd
PSP,Prosperity Resources Limited
PSQ,Pacific Smiles Group Limited
PST,Pearlstreet Limited
PTB,PTB Group Limited
PTG,Proptech Group Limited
PTL,Pental Limited
PTM,Platinum Asset Management Limited
PTN,Prime Retirement and Aged Care Property Trust
PTR,Petratherm Ltd
PTX,Prescient Therapeutics Limited
PUA,Peak Minerals Limited
PUR,Pursuit Minerals Limited
PV1,Provaris Energy Ltd
PVA,pSivida Corp
PVE,Po Valley Energy Limited
PVL,Powerhouse Ventures Limited
PVM,PMI Gold Corporation
PVS,Pivotal Systems Corporation Inc
PVT,Provet Holdings Limited
PVW,PVW Resources Limited
PWG,Primewest
PWH,PWR Holdings Limited
PWK,Pipe Networks Limited
PWL,Powerwrap Limited
PWN,Parkway Corporate Limited
PWR,Peter Warren Automotive Holdings Limited
PX1,Plexure Group Limited
PXA,PEXA Group Limited
PXG,Phoenix Gold Limited
PXS,Pharmaxis Ltd
PXX,PolarX Limited
PYC,PYC Therapeutics Limited
PYG,PayGroup Limited
PYR,Payright Limited
PZC,Pan Asia Corporation Limited
QAG,BetaShares Agriculture ETF-Currency Hedged (Synthetic)
QAL,Qualitas Limited
QAN,Qantas Airways Limited
QAU,BetaShares Gold Bullion ETF - Currency Hedged
QBE,QBE Insurance Group Limited
QCB,BetaShares Commodities Basket ETF-Currency Hedged (Synthetic)
QEM,QEM Limited
QFE,QuickFee Limited
QFN,Betashares Australian Financials Sector ETF
QFX,Quickflix Limited
QGC,Queensland Gas Company Limited
QGL,Quantum Graphite Limited
QHAL,VanEck MSCI International Quality (Hedged) ETF
QHL,Quickstep Holdings Limited
QIL,Quoin (Int) Limited
QIN,Quintis Ltd
QIP,QANTM Intellectual Property Limited
QLTY,Betashares Global Quality Leaders ETF
QMG,Quay Magnesium Limited
QMIX,SPDR MSCI World Quality Mix Fund
QML,Qmines Limited
QML1,QMASTOR Limited
QMN,Queensland Mining Corporation Limited
QMS,QMS Media Limited
QOZ,Betashares FTSE RAFI Australia 200 ETF
QPM,Queensland Pacific Metals Limited
QPON,BetaShares Australian Bank Senior Floating Rate Bond ETF
QRE,Betashares Australian Resources Sector ETF
QRI,Qualitas Real Estate Income Fund
QRX,QRxPharma Limited
QSML,VanEck MSCI International Small Companies Quality ETF
QSS,Questus Limited
QST,Quest Investments Limited
QTG,Q Technology Group Limited
QTK,Quiktrak Networks Limited
QTM,Quantum Health Group Limited
QUAL,VanEck MSCI International Quality ETF
QUB,Qube Holdings Limited
QUE,Queste Communications Limited
QUS,BetaShares S&P 500 Equal Weight ETF
QVE,QV Equities Limited
QXR,QX Resources Limited
R3D,R3D Resources Limited
R8R,Regener8 Resources NL
RAB,AdRabbit Limited
RAC,Race Oncology Ltd
RAD,Radiopharm Theranostics Limited
RAF,Raffles Capital Limited
RAG,Ragnar Metals Limited 
RAN,Range International Limited
RAP,ResApp Health Limited
RARI,Russell Invest Aust Responsible Inv ETF
RAS,Ragusa Minerals Ltd
RAT,Rubicon America Trust
RAW,Rawson Oil and Gas Ltd
RB6,Rubix Resources Limited
RBD,Restaurant Brands NZ Limited
RBL,Redbubble Limited
RBR,RBR Group Limited
RBTZ,Betashare Global Robotics And Artificial Intelligence ETF
RBV,Rabinov Property Trust
RBX,Resource Base Limited
RBY,Rockeby Biomed Limited
RC1,Redcastle Resources Limited
RCA,Raw Capital Partners Limited
RCB,Russell Invest Aust Select Corp Bond ETF
RCE,Recce Pharmaceuticals Ltd
RCF,Redcliffe Resources Limited
RCI,Rocklands Richfield Limited
RCL,ReadCloud Limited
RCO,Royalco Resources Limited
RCR,Rincon Resources Limited
RCR1,RCR Tomlinson Limited
RCT,Reef Casino Trust
RCW,Rightcrowd Limited
RCY,Rivercity Motorway Group
RD1,Registry Direct Limited
RDC,Redcape Hotel Group
RDF,Redflex Holdings Limited
RDG,Resource Development Group Limited
RDH,RedHill Education Limited
RDM,Red Metal Limited
RDN,Raiden Resources Limited
RDS,Redstone Resources Limited
RDT,Red Dirt Metals Limited
RDV,Russell Invest High Div Aust Shares ETF
RDY,ReadyTech Holdings Limited
REA,REA Group Ltd
REC,Recharge Metals Limited
REC2,Recall Holdings Limited
RED,Red 5 Limited
REE,RareX Limited
REF,Reverse Corp Limited
REG,Regis Healthcare Limited
REH,Reece Limited
REIT,VanEck FTSE International Property (Hedged) ETF
REM,RemSense Technologies Limited
RENT,AMP Capital Global Property Securities Fund (Unhedged)
RES,Resource Generation Limited
REU,Rubicon Europe Trust Group
REX,Regional Express Holdings Limited
REY,Rey Resources Limited
REZ,Resources & Energy Group Limited
RF1,Regal Investment Fund
RFA,Rare Foods Australia Limited
RFF,Rural Funds Group
RFG,Retail Food Group Limited
RFL,Rubik Financial Limited
RFR,Rafaella Resources Ltd
RFT,Rectifier Technologies Ltd
RFV,Rift Valley Resources Limited
RFX,Redflow Limited
RGB,Russell Invest Aust Govt Bond ETF
RGI,Roto-Gro International Limited
RGL,Riversgold Limited
RGS,Regeneus Ltd
RHC,Ramsay Health Care Limited
RHD,Ross Human Directions Limited
RHG,RHG Limited
RHI,Red Hill Iron Limited
RHL,Ruralco Holdings Limited
RHP,Rhipe Limited
RHS,RHS Limited
RHT,Resonance Health Limited
RHY,Rhythm Biosciences Limited
RIC,Ridley Corporation Limited
RIE,Riedel Resources Limited
RIG,Rongtai International Group Holdings Limited
RIL,Riddock International Limited
RIM,Rimfire Pacific Mining Limited
RINC,Betashares Legg Mason Real Income Fund (Managed Fund)
RIO,Rio Tinto Limited
RIS,Richfield International Limited
RIV,Riversdale Mining Limited
RJT,Rubicon Japanese Trust
RKN,Reckon Limited
RLC,Reedy Lagoon Corporation Limited
RLE,Real Energy Corporation Limited
RLF,RLF AgTech Ltd
RLG,RooLife Group Ltd
RLG1,RCL Group
RLK,Rolek Resources Ltd
RLT,Renergen Limited
RMA,Reeltime Media Limited
RMC,Resimac Group Limited
RMD,ResMed Inc.
RMG,RMG Limited
RMI,Resource Mining Corporation Limited
RML,Resolution Minerals Ltd
RML1,Rusina Mining NL
RMS,Ramelius Resources Limited
RMT,RMA Energy Limited
RMX,Red Mountain Mining Limited
RMY,RMA Global Limited
RNC,Real Estate Corp Limited
RND,Rand Mining Limited
RNE,Renu Energy Limited
RNL,Rision Limited
RNO,Rhinomed Limited 
RNS,Renaissance Minerals Limited
RNT,Rent.com.au Limited
RNU,Renascor Resources Limited
RNX,Renegade Exploration Limited
RNY,RNY Property Trust
ROBO,Global X ROBO Global Robotics & Automation ETF
ROC,RocketBoots Limited
ROC1,Roc Oil Company Limited
ROG,Red Sky Energy Limited
ROK,The Rock Building Society Limited
ROL,Robust Resources Limited
RON,Ronin Resources Ltd
ROO,Roots Sustainable Agricultural Technologies Ltd
RPF,Redcape Property Group
RPG,Raptis Group Limited
RPL,Regal Partners Limited
RPM,RPM Automotive Group Limited
RPM1,Roma Petroleum NL
RPX,RP Data Ltd
RQL,Resource Equipment Ltd
RR1,Reach Resources Limited
RRL,Regis Resources Limited
RRP,Realm Resources Limited
RRR,Revolver Resources Holdings Ltd
RRS,Range Resources Limited
RRT,Record Realty
RSG,Resolute Mining Limited
RSH,Respiri Limited
RSM,Russell Invest Aust Semi-Govt Bond ETF
RTA,Rutila Resources Limited
RTE,"Retech Technology., Co Limited"
RTG,RTG Mining Inc.
RTH,RAS Technology Holdings Limited
RTR,Rumble Resources Limited
RUB,Rubicor Group Limited
RUL,RPMGlobal Holdings Limited
RVA,Reva Medical Inc
RVR,Red River Resources Limited
RVS,Revasum Inc
RWC,Reliance Worldwide Corporation Limited
RWD,Reward Minerals Ltd
RWH,Royal Wolf Holdings Ltd
RWL,Rubicon Water Limited
RXH,Rewardle Holdings Limited
RXL,Rox Resources Limited
RXM,Rex Minerals Limited
RXP,RXP Services Limited
RYD,Ryder Capital Limited
RZI,Raiz Invest Limited
RZR,Razor Risk Technologies Limited
S2R,S2 Resources Limited
S32,South32 Limited
S3N,SensOre Ltd
S66,Star Combo Pharma Limited
SAI,SAI Global Limited
SAKHA,Southern Cross Airports Corporation Holdings Limited
SAN,Sagalio Energy Limited
SAO,Sino Australia Oil & Gas Limited
SAP,Sabina Corporation Limited
SAR,Saracen Mineral Holdings Limited
SAS,Sky and Space Company Ltd
SAU,Southern Gold Limited
SAY,South America Iron & Steel Corporation Limited
SB2,Salter Brothers Emerging Companies Limited
SBB,Sunbridge Group Limited
SBI,Sterling Plantations Limited
SBL,Signature Metals Limited
SBM,St Barbara Limited
SBR,Sabre Resources Limited
SBS,Sub-Sahara Resources NL
SBU,Siburan Resources Limited
SBW,Shekel Brainweigh Ltd
SCB,Scarborough Equities Limited
SCC,Scott Corporation Limited
SCD,Scantech Limited
SCG,Scentre Group
SCL,Schrole Group Ltd
SCN,Scorpion Minerals Limited
SCO,Scottish Pacific Group Limited
SCP,Shopping Centres Australasia Property Group
SCR,Scandinavian Resources Limited
SCT,Scout Security Limited
SCU,Stemcell United Limited
SDA,Speedcast International Limited
SDF,Steadfast Group Limited
SDG,Sunland Group Limited
SDI,SDI Limited
SDL,Sundance Resources Limited
SDM,Sedgman Limited
SDR,SiteMinder Limited
SDT,Shandong Tianye Australia Limited
SDV,SciDev Ltd
SDX,Sienna Cancer Diagnostics Limited
SE1,Sensera Limited
SEA,Sundance Energy Australia Limited
SEC,Spheria Emerging Companies Limited
SEG,Sports Entertainment Group Limited
SEH,Sino Gas & Energy Holdings Limited
SEK,SEEK Limited
SELF,Selfwealth SMSF Leaders ETF
SEN,Senetas Corporation Limited
SEQ,Sequoia Financial Group Ltd
SER,Strategic Energy Resources Limited
SES,SECOS Group Ltd
SFC,Schaffer Corporation Limited
SFG,Seafarms Group Limited
SFI,Spookfish Limited
SFM,Santa Fe Minerals Ltd
SFR,Sandfire Resources Limited
